rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,yellow_cards,red_cards,second_yellow,fouls,fouled,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_win_pct,shot_creating_actions_foul_drawn,passes_offsides,passes_crosses,own_goals_against,season,table_type,processed_at
380,Castrin,ESP,DF,Sevilla,La Liga,0.0,2003.0,3.7,1,0,0,3,0,0,0,6,4,0,0,0,17,9,8,52.9,6,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
381,Jonny Castro,ESP,DF,Alavés,La Liga,0.0,1994.0,7.9,2,0,0,13,0,0,0,13,14,0,0,0,38,11,8,57.9,5,0,7,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
382,Santiago Castro,ARG,FW,Bologna,Serie A,0.0,2004.0,3.6,0,0,0,7,0,0,0,0,0,0,0,0,6,5,9,35.7,6,3,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
383,Alessio Castro-Montes,BEL,"DF,FW",Köln,Bundesliga,0.0,1997.0,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
384,Danilo Cataldi,ITA,MF,Lazio,Serie A,0.0,1994.0,3.8,2,0,0,7,0,0,0,8,4,0,0,0,16,5,0,100.0,2,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
385,Catena,ESP,DF,Osasuna,La Liga,0.0,1994.0,8.0,1,0,0,10,0,0,0,9,9,0,0,0,27,23,11,67.6,3,1,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
386,Nicolò Cavuoti,ITA,DF,Cagliari,Serie A,0.0,2003.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
387,Santi Cazorla,ESP,"MF,FW",Oviedo,La Liga,0.0,1984.0,2.2,0,0,0,1,0,0,0,0,1,0,0,0,16,1,0,100.0,5,0,15,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
388,Dani Ceballos,ESP,MF,Real Madrid,La Liga,0.0,1996.0,2.6,0,0,0,2,0,0,0,5,5,0,0,0,13,1,1,50.0,10,0,3,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
389,Federico Ceccherini,ITA,DF,Cremonese,Serie A,0.0,1992.0,1.2,0,0,0,2,0,0,0,2,0,0,0,0,5,1,1,50.0,2,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
390,Abdoulie Ceesay,GAM,"FW,DF",St. Pauli,Bundesliga,0.0,2004.0,0.5,1,0,0,3,0,0,0,0,0,1,0,0,1,5,3,62.5,3,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
391,Zeki Çelik,TUR,DF,Roma,Serie A,0.0,1997.0,3.2,0,0,0,7,0,0,0,4,2,0,0,0,15,10,2,83.3,1,1,6,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
392,Václav Černý,CZE,FW,Wolfsburg,Bundesliga,0.0,1997.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,2,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
393,Julian Chabot,GER,DF,Stuttgart,Bundesliga,0.0,1998.0,4.9,0,0,0,4,0,0,0,12,3,0,0,0,26,22,12,64.7,14,0,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
394,Fares Chaïbi,ALG,MF,Eint Frankfurt,Bundesliga,0.0,2002.0,5.0,1,0,0,2,0,0,0,4,6,0,0,0,28,6,5,54.5,7,1,30,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
395,Ilyas Chaira,MAR,"FW,MF",Oviedo,La Liga,0.0,2001.0,3.9,0,0,0,5,0,0,0,2,4,1,0,0,20,1,2,33.3,5,4,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
