rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
52,Bingourou Kamara,SEN,GK,Lorient,Ligue 1,0.0,1996,3.0,8,0,0,0,0,5.1,0.34,-2.9,-0.96,12,22,54.5,65,7,29.2,30.0,0,0,0,26,2,7.7,5,1.67,15.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
53,Caoimhín Kelleher,IRL,GK,Brentford,Premier League,0.0,1998,7.0,12,1,0,1,1,9.0,0.29,-2.0,-0.28,46,119,38.7,223,38,39.9,34.0,0,0,0,91,6,6.6,5,0.71,11.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
54,Gregor Kobel,SUI,GK,Dortmund,Bundesliga,0.0,1997,6.0,4,1,0,0,0,4.2,0.23,0.2,0.03,17,56,30.4,168,23,29.2,31.0,0,0,0,82,1,1.2,4,0.67,14.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
55,Hervé Koffi,BFA,GK,Angers,Ligue 1,0.0,1996,7.0,11,1,0,3,0,15.7,0.34,4.7,0.68,27,78,34.6,174,39,37.9,35.1,0,0,0,112,13,11.6,3,0.43,8.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
56,Philipp Köhn,SUI,GK,Monaco,Ligue 1,0.0,1998,4.1,8,2,0,0,1,5.5,0.25,-1.5,-0.37,9,18,50.0,81,22,19.8,26.3,0,0,0,46,3,6.5,6,1.45,17.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
57,Vladyslav Krapyvtsov,UKR,GK,Girona,La Liga,0.0,2005,1.5,6,1,0,1,0,3.4,0.29,-2.6,-1.72,6,20,30.0,36,8,33.3,30.4,0,0,0,22,0,0.0,0,0.0,14.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
58,Senne Lammens,BEL,GK,Manchester Utd,Premier League,0.0,2002,1.0,0,0,0,0,0,0.9,0.31,0.9,0.94,10,37,27.0,39,2,76.9,50.7,0,0,0,13,2,15.4,3,3.0,16.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
59,Nicola Leali,ITA,GK,Genoa,Serie A,0.0,1993,6.0,9,1,0,1,0,8.1,0.32,-0.9,-0.14,25,89,28.1,155,14,46.5,37.4,0,0,0,71,1,1.4,8,1.33,17.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
60,Bernd Leno,GER,GK,Fulham,Premier League,0.0,1992,7.0,11,2,0,1,1,9.0,0.28,-1.0,-0.14,21,79,26.6,240,36,24.6,29.5,0,0,0,83,6,7.2,6,0.86,13.1,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
61,Donovan Léon,GUF,GK,Auxerre,Ligue 1,0.0,1992,4.5,6,0,0,3,1,6.3,0.3,1.3,0.28,27,98,27.6,135,10,60.7,44.1,0,0,0,38,1,2.6,9,2.0,20.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
