rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_completed,passes_attempted,pass_completion_pct,total_distance,progressive_distance,assists,expected_assists,expected_assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,expected_assists_xa,season,table_type,processed_at
1797,Maroan Sannadi,MAR,FW,Athletic Club,La Liga,0.0,2001.0,2.5,42,60,70.0,580,96,0,0.6,-0.6,2,4,0,0,4,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1798,Kaishu Sano,JPN,MF,Mainz 05,Bundesliga,0.0,2000.0,6.0,194,241,80.5,3075,1091,1,1.1,-0.1,5,24,7,0,38,0.9,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1799,Morgan Sanson,FRA,MF,Nice,Ligue 1,0.0,1994.0,1.0,34,43,79.1,507,117,0,0.0,0.0,1,2,1,0,3,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1800,Baptiste Santamaria,FRA,MF,Valencia,La Liga,0.0,1995.0,5.8,217,271,80.1,3686,1257,1,1.0,0.0,3,26,2,0,25,0.6,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1801,Yellu Santiago,ESP,MF,Hellas Verona,Serie A,0.0,2004.0,0.0,2,4,50.0,32,26,0,0.0,0.0,0,1,0,0,0,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1802,Andrey Santos,BRA,MF,Chelsea,Premier League,0.0,2004.0,1.9,87,103,84.5,1173,361,0,0.1,-0.1,3,13,1,0,12,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1803,Kauã Santos,BRA,GK,Eint Frankfurt,Bundesliga,0.0,2003.0,3.0,81,122,66.4,1718,1075,0,0.0,0.0,0,0,0,0,1,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1804,Tiago Santos,POR,DF,Lille,Ligue 1,0.0,2002.0,1.2,30,45,66.7,510,248,0,0.0,0.0,1,4,0,0,2,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1805,Jeremy Sarmiento,ECU,MF,Cremonese,Serie A,0.0,2002.0,0.4,19,21,90.5,261,48,0,0.1,-0.1,2,1,0,0,1,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1806,Amin Sarr,SWE,FW,Hellas Verona,Serie A,0.0,2001.0,2.4,34,48,70.8,375,79,0,0.3,-0.3,4,4,1,1,3,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
1807,Ismaila Sarr,SEN,"MF,FW",Crystal Palace,Premier League,0.0,1998.0,4.8,70,95,73.7,1134,383,1,0.5,0.5,5,7,6,0,17,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
