rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_attempted,passes_live,passes_dead,passes_free_kick,passes_through_ball,passes_switched,passes_crosses,passes_throw_in,passes_corner_kick,passes_in,passes_out,passes_straight,passes_completed,passes_offsides,passes_blocks,season,table_type,processed_at
1292,Rudy Matondo,FRA,MF,Auxerre,Ligue 1,0.0,2008.0,0.6,37,37,0,0,0,0,0,0,0,0,0,0,32,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1293,Chrislain Matsima,FRA,DF,Augsburg,Bundesliga,0.0,2002.0,6.0,312,288,21,6,0,0,4,15,0,0,0,0,257,3,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1294,Jean Mattéo Bahoya,FRA,FW,Eint Frankfurt,Bundesliga,0.0,2005.0,3.9,119,117,2,0,0,2,15,2,0,0,0,0,90,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1295,Konstantinos Mavropanos,GRE,DF,West Ham,Premier League,0.0,1997.0,5.0,236,230,6,6,0,5,0,0,0,0,0,0,208,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1296,Christian Mawissa,FRA,DF,Monaco,Ligue 1,0.0,2005.0,4.0,335,313,22,8,0,1,1,2,0,0,0,0,317,0,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1297,Keke Maximilian Topp,GER,FW,Werder Bremen,Bundesliga,0.0,2004.0,0.6,23,23,0,0,0,0,1,0,0,0,0,0,18,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1298,Eliezer Mayenda,ESP,FW,Sunderland,Premier League,0.0,2005.0,2.7,16,16,0,0,0,0,0,0,0,0,0,0,11,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1299,Borja Mayoral,ESP,FW,Getafe,La Liga,0.0,1997.0,4.2,78,74,3,0,0,1,1,0,0,0,0,0,61,1,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1300,Senny Mayulu,FRA,MF,Paris S-G,Ligue 1,0.0,2006.0,1.9,100,95,5,1,1,0,5,0,4,2,0,0,84,0,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1301,Ibrahim Maza,ALG,"MF,DF",Leverkusen,Bundesliga,0.0,2005.0,2.4,75,70,5,2,0,1,2,1,0,0,0,0,63,0,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
