rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_minus_pk,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,non_penalty_xg,expected_assists,npxg_plus_xag,progressive_carries,progressive_passes,progressive_receives,goals_assists_minus_pk,xg_plus_xag,MP,Starts,Min,season,table_type,processed_at
463,Cucho,COL,FW,Betis,La Liga,0.0,1999.0,0,0,0,7.6,4,1,5,4,0,0,1,0,1.8,1.8,0.9,2.7,7,15,49,0.66,0.36,8,8,683.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
464,Marc Cucurella,ESP,DF,Chelsea,Premier League,0.0,1998.0,0,0,0,6.0,0,2,2,0,0,0,2,0,0.2,0.2,1.3,1.5,14,28,22,0.34,0.25,7,6,536.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
465,Jorge Cuenca,ESP,DF,Fulham,Premier League,0.0,1999.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,2,1,88.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
466,Josh Cullen,IRL,MF,Burnley,Premier League,0.0,1996.0,0,0,0,6.6,1,1,2,1,0,0,0,0,0.1,0.1,0.8,0.9,2,34,5,0.31,0.14,7,7,590.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
467,Pablo Cuñat,ESP,GK,Levante,La Liga,0.0,2002.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,2,180.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
468,Jair Cunha,BRA,DF,Nott'ham Forest,Premier League,0.0,2005.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,1,1,90.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
469,Matheus Cunha,BRA,"MF,FW",Manchester Utd,Premier League,0.0,1999.0,0,0,0,3.9,0,0,0,0,0,0,0,0,1.3,1.3,0.2,1.6,14,14,17,0.0,0.4,6,4,352.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
470,Patrick Cutrone,ITA,FW,Parma,Serie A,0.0,1998.0,0,0,0,3.9,1,0,1,1,0,0,0,0,1.9,1.9,0.0,1.9,2,4,20,0.26,0.49,5,4,350.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
471,Lucas Da Cunha,FRA,MF,Como,Serie A,0.0,2001.0,0,0,0,4.4,0,0,0,0,0,0,1,0,0.9,0.9,0.3,1.2,5,8,8,0.0,0.29,5,4,392.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
472,Adam Daghim,DEN,FW,Wolfsburg,Bundesliga,0.0,2005.0,0,0,0,2.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,7,8,15,0.49,0.25,4,1,182.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
473,Finn Dahmen,GER,GK,Augsburg,Bundesliga,0.0,1998.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
474,Mahmoud Dahoud,GER,MF,Eint Frankfurt,Bundesliga,0.0,1996.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,8.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
475,Ameen Al-Dakhil,BEL,DF,Stuttgart,Bundesliga,0.0,2002.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.05,2,0,40.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
476,Thijs Dallinga,NED,"FW,MF",Bologna,Serie A,0.0,2000.0,0,0,0,2.1,0,2,2,0,0,0,1,0,0.7,0.7,0.2,0.9,2,7,20,0.97,0.45,5,2,186.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
477,Diogo Dalot,POR,DF,Manchester Utd,Premier League,0.0,1999.0,0,0,0,3.7,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,14,10,31,0.27,0.27,5,4,336.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
478,Muhammed Damar,GER,"FW,MF",Hoffenheim,Bundesliga,0.0,2004.0,0,0,0,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0,10,16,0.0,0.37,5,2,203.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
479,Mikkel Damsgaard,DEN,MF,Brentford,Premier League,0.0,2000.0,0,0,0,4.6,1,0,1,1,0,0,0,0,0.2,0.2,0.4,0.7,8,19,14,0.22,0.15,5,5,413.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
480,Arnaut Danjuma,NED,"FW,MF",Valencia,La Liga,0.0,1997.0,0,0,0,6.1,3,1,4,3,0,1,0,0,2.2,1.5,0.3,1.7,17,5,36,0.66,0.41,8,7,548.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
481,Kévin Danois,FRA,MF,Auxerre,Ligue 1,0.0,2004.0,0,0,0,6.8,0,0,0,0,0,0,1,0,0.7,0.7,0.7,1.4,11,39,16,0.0,0.2,7,7,613.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
482,Kevin Danso,AUT,DF,Tottenham,Premier League,0.0,1998.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,3,0,18.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
483,Dante,BRA,DF,Nice,Ligue 1,0.0,1983.0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.05,1,1,74.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
484,Aiman Dardari,LUX,MF,Augsburg,Bundesliga,0.0,2005.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,1,0,7.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
485,Sergi Darder,ESP,"MF,FW",Mallorca,La Liga,0.0,1993.0,0,0,0,7.2,0,1,1,0,0,0,1,0,0.3,0.3,1.2,1.5,12,35,22,0.14,0.21,8,7,646.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
486,Karl Darlow,WAL,GK,Leeds United,Premier League,0.0,1990.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,4,4,360.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
487,Matteo Darmian,ITA,DF,Inter,Serie A,0.0,1989.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0,14.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
488,Juan David Cabal,COL,DF,Juventus,Serie A,0.0,2001.0,0,0,0,0.4,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,2.81,0.39,2,0,32.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
489,Jonathan David,CAN,FW,Juventus,Serie A,0.0,2000.0,0,0,0,2.7,1,1,2,1,0,0,0,0,0.9,0.9,0.7,1.5,2,2,15,0.75,0.58,5,3,241.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
490,Davinchi,ESP,DF,Getafe,La Liga,0.0,2007.0,0,0,0,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,11,12,0.0,0.05,7,4,429.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
491,Keinan Davis,ENG,FW,Udinese,Serie A,0.0,1998.0,0,0,0,4.9,2,1,3,1,1,1,1,0,2.8,2.0,1.3,3.3,7,4,23,0.41,0.84,6,6,440.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
492,Kevin De Bruyne,BEL,MF,Napoli,Serie A,0.0,1991.0,0,0,0,4.9,3,0,3,1,2,2,1,0,2.1,0.6,1.4,2.0,13,30,26,0.2,0.73,6,5,440.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
493,Mathys De Carvalho,FRA,"MF,FW",Lyon,Ligue 1,0.0,2005.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.18,2,0,11.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
494,Maxim De Cuyper,BEL,DF,Brighton,Premier League,0.0,2000.0,0,0,0,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,1,12,10,0.3,0.24,6,4,296.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
495,Charles De Ketelaere,BEL,MF,Atalanta,Serie A,0.0,2001.0,0,0,0,3.1,2,0,2,2,0,0,0,0,0.7,0.7,0.7,1.4,19,29,29,0.65,0.47,4,3,277.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
496,Jeffrey De Lange,NED,GK,Marseille,Ligue 1,0.0,1998.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1,90.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
497,Manuel De Luca,ITA,FW,Cremonese,Serie A,0.0,1998.0,0,0,0,0.2,1,0,1,0,1,1,0,0,1.1,0.3,0.0,0.3,1,0,1,0.0,6.3,2,0,16.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
498,Théo De Percin,MTQ,GK,Auxerre,Ligue 1,0.0,2001.0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,3,2,226.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
499,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,0.0,1988.0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,3,0.0,0.05,3,2,137.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
500,Thibault De Smet,BEL,DF,Paris FC,Ligue 1,0.0,1998.0,0,0,0,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,14,8,0.0,0.05,5,4,368.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
501,Koni De Winter,BEL,DF,Milan,Serie A,0.0,2002.0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.03,3,0,79.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
502,Alessandro Deiola,ITA,"MF,DF",Cagliari,Serie A,0.0,1995.0,0,0,0,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,9,6,0.0,0.06,6,5,433.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
503,Romain Del Castillo,FRA,"FW,MF",Brest,Ligue 1,0.0,1996.0,0,0,0,5.3,3,2,5,1,2,2,0,0,2.0,0.4,2.4,2.8,15,12,39,0.56,0.82,6,6,481.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
504,Enrico Del Prato,ITA,DF,Parma,Serie A,0.0,1999.0,0,0,0,6.0,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3,6,21,8,0.0,0.06,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
505,Thomas Delaine,FRA,DF,Le Havre,Ligue 1,0.0,1992.0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,8,9,7,0.0,0.14,3,1,123.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
506,Liam Delap,ENG,FW,Chelsea,Premier League,0.0,2003.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,3,4,0.0,0.22,3,2,92.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
507,Fisayo Dele-Bashiru,NGA,MF,Lazio,Serie A,0.0,2001.0,0,0,0,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,10,0.0,0.03,4,4,209.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
508,Ali Dembélé,FRA,DF,Torino,Serie A,0.0,2004.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.0,0.44,1,0,13.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
509,Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,0.0,1997.0,0,0,0,2.0,2,1,3,0,2,3,0,0,2.6,0.2,1.0,1.2,17,19,15,0.5,1.77,3,2,179.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
510,Jessy Deminguet,FRA,MF,Metz,Ligue 1,0.0,1998.0,0,0,0,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7,12,7,0.0,0.01,6,4,317.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
511,Ermedin Demirović,BIH,FW,Stuttgart,Bundesliga,0.0,1998.0,0,0,0,5.5,3,1,4,2,1,1,1,0,2.2,1.4,0.5,1.9,4,11,29,0.55,0.5,6,6,492.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
512,Rav van den Berg,NED,DF,Köln,Bundesliga,0.0,2004.0,0,0,0,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,2,2,160.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
513,Sepp van den Berg,NED,DF,Brentford,Premier League,0.0,2001.0,0,0,0,7.0,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,2,14,5,0.0,0.14,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
514,Leander Dendoncker,BEL,MF,Oviedo,La Liga,0.0,1995.0,0,0,0,6.9,1,0,1,1,0,0,2,0,0.5,0.5,0.3,0.8,6,23,10,0.15,0.12,7,7,619.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
515,Daniel Denoon,SUI,DF,Pisa,Serie A,0.0,2004.0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1,77.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
516,Nelson Deossa,COL,MF,Betis,La Liga,0.0,2000.0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,4,0,0.0,0.21,2,1,63.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
517,Rémy Descamps,FRA,GK,Lyon,Ligue 1,0.0,1996.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,4,4,360.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
518,Bahmed Deuff,MTN,MF,Nantes,Ligue 1,0.0,2006.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,6.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
519,Justin Devenny,NIR,"MF,FW",Crystal Palace,Premier League,0.0,2003.0,0,0,0,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,5,9,0.0,0.33,7,1,149.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
520,Kiernan Dewsbury-Hall,ENG,MF,Everton,Premier League,0.0,1998.0,0,0,0,6.0,1,1,2,1,0,0,5,0,0.4,0.4,1.8,2.2,10,34,24,0.33,0.37,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
521,Michele Di Gregorio,ITA,GK,Juventus,Serie A,0.0,1997.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
522,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,0.0,1993.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,10,46,44,0.0,0.2,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
523,Alessandro Di Pardo,ITA,DF,Cagliari,Serie A,0.0,1999.0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.0,0.27,2,0,53.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
524,Boulaye Dia,SEN,"MF,FW",Lazio,Serie A,0.0,1996.0,0,0,0,3.2,1,0,1,1,0,0,0,0,1.6,1.6,0.0,1.6,2,6,14,0.31,0.5,6,3,291.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
525,Bambo Diaby,SEN,DF,Elche,La Liga,0.0,1997.0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,1,49.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
526,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,0.0,1996.0,0,0,0,5.0,1,0,1,1,0,0,3,0,0.5,0.5,0.0,0.6,2,17,4,0.2,0.12,7,6,453.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
527,Bafodé Diakité,FRA,DF,Bournemouth,Premier League,0.0,2001.0,0,0,0,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,17,2,0.0,0.02,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
528,Amad Diallo,CIV,"DF,MF",Manchester Utd,Premier League,0.0,2002.0,0,0,0,5.0,0,0,0,0,0,0,0,0,1.9,1.9,0.8,2.7,30,19,38,0.0,0.55,6,5,447.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
529,Habib Diallo,SEN,FW,Metz,Ligue 1,0.0,1995.0,0,0,0,3.9,1,0,1,1,0,1,0,0,1.8,1.1,0.1,1.1,3,3,10,0.26,0.49,4,4,348.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
530,Grady Diangana,COD,"MF,FW",Elche,La Liga,0.0,1998.0,0,0,0,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,2,5,0.0,0.06,4,2,142.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
531,Habib Diarra,SEN,MF,Sunderland,Premier League,0.0,2004.0,0,0,0,3.8,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,10,13,17,0.0,0.16,4,4,345.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
532,Moussa Diarra,MLI,DF,Alavés,La Liga,0.0,2000.0,0,0,0,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,1,5,0.0,0.01,3,3,216.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
533,Rúben Dias,POR,DF,Manchester City,Premier League,0.0,1997.0,0,0,0,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,18,0,0.0,0.0,7,6,546.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
534,Krépin Diatta,SEN,DF,Monaco,Ligue 1,0.0,1999.0,0,0,0,2.1,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,9,20,21,0.47,0.35,3,1,193.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
535,Mory Diaw,SEN,GK,Le Havre,Ligue 1,0.0,1993.0,0,0,0,7.0,0,1,1,0,0,0,0,0,0.0,0.0,0.8,0.8,0,0,0,0.14,0.11,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
536,Brahim Díaz,MAR,FW,Real Madrid,La Liga,0.0,1999.0,0,0,0,2.2,0,2,2,0,0,0,0,0,0.2,0.2,1.3,1.5,7,5,14,0.92,0.69,6,2,195.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
537,Junior Diaz,CIV,DF,Brest,Ligue 1,0.0,2003.0,0,0,0,5.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,16,1,0.0,0.03,6,5,469.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
538,Luis Díaz,COL,FW,Bayern Munich,Bundesliga,0.0,1997.0,0,0,0,5.7,5,4,9,5,0,0,3,0,3.4,3.4,1.8,5.2,20,18,57,1.57,0.91,6,6,515.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
539,Pedro Díaz,ESP,"MF,FW",Rayo Vallecano,La Liga,0.0,1998.0,0,0,0,5.4,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,2,15,23,0.0,0.09,8,6,486.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
540,Tyler Dibling,ENG,FW,Everton,Premier League,0.0,2006.0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.0,0.0,3,1,60.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
541,Nouha Dicko,MLI,FW,Paris FC,Ligue 1,0.0,1992.0,0,0,0,0.5,1,1,2,1,0,0,0,0,0.3,0.3,0.2,0.5,1,1,6,4.29,1.11,4,0,42.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
542,Bamba Dieng,SEN,FW,Lorient,Ligue 1,0.0,2000.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.76,1,0,12.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
543,Eric Dier,ENG,DF,Monaco,Ligue 1,0.0,1994.0,0,0,0,6.0,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,2,39,5,0.17,0.1,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
544,Lucas Digne,FRA,DF,Aston Villa,Premier League,0.0,1993.0,0,0,0,5.4,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,6,10,41,0.18,0.16,7,6,488.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
545,Kevin Diks,IDN,DF,Gladbach,Bundesliga,0.0,1996.0,0,0,0,5.2,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,9,27,7,0.0,0.13,6,5,464.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
546,Federico Dimarco,ITA,DF,Inter,Serie A,0.0,1997.0,0,0,0,4.4,2,3,5,2,0,0,1,0,0.7,0.7,3.1,3.8,8,24,43,1.13,0.85,6,4,399.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
547,Junior Dina Ebimbe,FRA,"FW,MF",Brest,Ligue 1,0.0,2000.0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,1,2,0.0,0.34,4,1,128.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
548,Eren Dinkçi,GER,"FW,MF",Freiburg,Bundesliga,0.0,2001.0,0,0,0,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,6,11,0.0,0.13,6,3,211.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
549,Yan Diomandé,CIV,FW,RB Leipzig,Bundesliga,0.0,2006.0,0,0,0,3.2,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,30,14,20,0.0,0.33,6,3,285.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
550,Issa Diop,FRA,DF,Fulham,Premier League,0.0,1997.0,0,0,0,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.0,0.0,1,1,85.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
551,Sérigné Diop,SEN,FW,Brest,Ligue 1,0.0,2005.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.99,2,0,12.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
552,Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,0.0,2000.0,0,0,0,4.3,3,0,3,2,1,1,2,0,1.9,1.1,0.8,1.9,10,35,25,0.47,0.62,7,4,386.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
553,Andy Diouf,FRA,MF,Inter,Serie A,0.0,2003.0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,2,0,28.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
554,Andy Diouf,FRA,MF,Lens,Ligue 1,0.0,2003.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,3,4,0.0,0.22,1,1,90.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
555,El Hadji Malick Diouf,SEN,DF,West Ham,Premier League,0.0,2004.0,0,0,0,7.0,0,3,3,0,0,0,1,0,0.2,0.2,0.7,0.9,11,21,31,0.43,0.13,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
556,Yehvann Diouf,SEN,GK,Nice,Ligue 1,0.0,1999.0,0,0,0,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
557,Assane Dioussé,SEN,MF,Auxerre,Ligue 1,0.0,1997.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.0,0.83,2,0,10.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
558,Matías Dituro,ARG,GK,Elche,La Liga,0.0,1987.0,0,0,0,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.01,5,5,450.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
559,Djené,TOG,DF,Getafe,La Liga,0.0,1991.0,0,0,0,5.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,9,0,0.0,0.01,8,7,534.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
560,Berat Djimsiti,ALB,DF,Atalanta,Serie A,0.0,1993.0,0,0,0,5.0,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,12,6,0.0,0.11,5,5,450.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
561,Marko Dmitrović,SRB,GK,Espanyol,La Liga,0.0,1992.0,0,0,0,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,8,8,720.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
562,Ritsu Doan,JPN,"FW,MF",Eint Frankfurt,Bundesliga,0.0,1998.0,0,0,0,5.5,2,3,5,2,0,0,1,0,1.4,1.4,1.9,3.2,9,22,47,0.9,0.58,6,6,499.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
563,Dodô,BRA,DF,Fiorentina,Serie A,0.0,1998.0,0,0,0,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,20,15,23,0.0,0.12,6,6,530.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
564,Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,0.0,1998.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0.8,0.8,0.3,1.1,1,12,1,0.0,0.19,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
565,Matt Doherty,IRL,DF,Wolves,Premier League,0.0,1992.0,0,0,0,2.5,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,5,0,0.0,0.03,3,3,225.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
566,Josh Doig,SCO,DF,Sassuolo,Serie A,0.0,2002.0,0,0,0,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,5,17,9,0.0,0.05,6,6,485.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
567,Jeremy Doku,BEL,"MF,FW",Manchester City,Premier League,0.0,2002.0,0,0,0,4.3,0,3,3,0,0,0,0,0,0.6,0.6,2.1,2.7,44,13,45,0.7,0.63,7,4,388.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
