table_name,column_name,definition
Possession,Age,Current ageAge at season startGiven on August 1 for winter leaguesand February 1 for summer leagues.
Possession,Born,Year of birth
Possession,90s,90s Played90s playedMinutes played divided by 90
Possession,Touches,"Number of times a player touched the ball. Note: Receiving a pass, then dribbling, then sending a pass counts as one touch"
Possession,Def Pen,Touches (Def Pen)Touches in defensive penalty area
Possession,Def 3rd,Touches (Def 3rd)Touches in defensive 1/3
Possession,Mid 3rd,Touches (Mid 3rd)Touches in middle 1/3
Possession,Att 3rd,Touches (Att 3rd)Touches in attacking 1/3
Possession,Att Pen,Touches (Att Pen)Touches in attacking penalty area
Possession,Live,"Touches (Live-Ball)Live-ball touches. Does not include corner kicks, free kicks, throw-ins, kick-offs, goal kicks or penalty kicks"
Possession,Att,Take-Ons AttemptedNumber of attempts to take on defenders while dribbling
Possession,Succ,"Successful Take-OnsNumber of defenders taken on successfully, by dribbling past themUnsuccessful take-ons include attempts where the dribbler retained possession but was unable to get past the defender"
Possession,Succ%,Successful Take-On %Percentage of Take-Ons Completed SuccessfullyUnsuccessful take-ons include attempts where the dribbler retained possession but was unable to get past the defenderMinimum .5 take-ons per squad game to qualify as a leader
Possession,Tkld,Times Tackled During Take-OnNumber of times tackled by a defender during a take-on attempt
Possession,Tkld%,Tackled During Take-On PercentagePercentage of time tackled by a defender during a take-on attemptMinimum .5 take-ons per squad game to qualify as a leader
Possession,Carries,Number of times the player controlled the ball with their feet
Possession,TotDist,"Total Carrying DistanceTotal distance, in yards, a player moved the ball while controlling it with their feet, in any direction"
Possession,PrgDist,"Progressive Carrying DistanceProgressive DistanceTotal distance, in yards, a player moved the ball while controlling it with their feet towards the opponent's goal"
Possession,PrgC,"Progressive CarriesCarries that move the ball towards the opponent's goal line at least 10 yards from its furthest point in the last six passes, or any carry into the penalty area. Excludes carries which end in the defending 50% of the pitch"
Possession,1/3,Carries into Final ThirdCarries that enter the 1/3 of the pitch closest to the goal
Possession,CPA,Carries into Penalty AreaCarries into the 18-yard box
Possession,Mis,MiscontrolsNumber of times a player failed when attempting to gain control of a ball
Possession,Dis,DispossessedNumber of times a player loses control of the ball after being tackled by an opposing player. Does not include attempted take-ons
Possession,Rec,Passes ReceivedNumber of times a player successfully received a pass
Possession,PrgR,"Progressive Passes RecProgressive Passes ReceivedCompleted passes that move the ball towards the opponent's goal line at least 10 yards from its furthest point in the last six passes, or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch"
Playing Time,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
Playing Time,Nation,"Nationality of the player.First, we check our records in international play at senior level.Then youth level.Then citizenship presented on wikipedia.Finally, we use their birthplace when available."
Playing Time,Pos,PositionPosition most commonly played by the playerGK - GoalkeepersDF - DefendersMF - MidfieldersFW - ForwardsFB - FullbacksLB - Left BacksRB - Right BacksCB - Center BacksDM - Defensive MidfieldersCM - Central MidfieldersLM - Left MidfieldersRM - Right MidfieldersWM - Wide MidfieldersLW - Left WingersRW - Right WingersAM - Attacking Midfielders
Playing Time,Comp,CompetitionCompetitionNumber next to competition states which level in the country's league pyramid this league occupies.
Playing Time,Age,Current ageAge at season startGiven on August 1 for winter leaguesand February 1 for summer leagues.
Playing Time,Born,Year of birth
Playing Time,MP,Matches PlayedMatches Played by the player or squad
Playing Time,Min,Minutes
Playing Time,Mn/MP,Minutes Per Match PlayedMinutes Per Match Played
Playing Time,Min%,Percentage of Squad Minutes PlayedPercentage of Minutes PlayedPercentage of team's total minutes in which player was on the pitchPlayer minutes played divided by team total minutes playedMinimum 30 minutes played per squad game to qualify as a leader
Playing Time,90s,90s Played90s playedMinutes played divided by 90
Playing Time,Starts,Game or games started by player
Playing Time,Mn/Start,Minutes Per Match StartedMinutes Per Match StartedMinimum 30 minutes played per squad game to qualify as a leader
Playing Time,Compl,Complete Matches PlayedComplete matches played
Playing Time,Subs,"Substitute AppearancesGames as subGame or games player did not start, so as a substitute"
Playing Time,Mn/Sub,Minutes Per SubstitutionMinutes Per SubstitutionMinimum 30 minutes played per squad game to qualify as a leader
Playing Time,unSub,Matches as Unused SubGames as an unused substitute
Playing Time,PPM,Points per MatchPoints per MatchAverage number of points earned by the team from matches in which the player appearedMinimum 30 minutes played per squad game to qualify as a leader
Playing Time,onG,Goals Scored (on pitch)Goals scored by team while on pitch
Playing Time,onGA,Goals Allowed (on pitch)Goals allowed by team while on pitch
Playing Time,+/-,Plus/MinusPlus/MinusGoals scored minus goals allowed by the team while the player was on the pitch.
Playing Time,+/-90,Plus/Minus/90Plus/Minus per 90 MinutesGoals scored minus goals allowed by the team while the player was on the pitch per 90 minutes played.Minimum 30 minutes played per squad game to qualify as a leader
Playing Time,On-Off,Plus/Minus Net per 90 MinutesNet goals per 90 minutes by the team while the player was on the pitch minus net goals allowed per 90 minutes by the team while the player was off the pitch.Minimum 30 minutes played per squad game to qualify as a leader
Playing Time,onxG,"xG (on pitch)Expected goals by team while on pitchxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Playing Time,onxGA,"xGA (on pitch)Expected goals allowed by team while on pitchxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Playing Time,xG+/-,"xG Plus/MinusxG Plus/MinusExpected goals scored minus expected goals allowed by the team while the player was on the pitch.xG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Playing Time,xG+/-90,"xG Plus/Minus/90xG Plus/Minus per 90 MinutesExpected goals scored minus expected goals allowed by the team while the player was on the pitch per 90 minutes played.xG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader"
Miscellaneous Stats,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
Miscellaneous Stats,Nation,"Nationality of the player.First, we check our records in international play at senior level.Then youth level.Then citizenship presented on wikipedia.Finally, we use their birthplace when available."
