rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,shot_creating_actions,shot_creating_actions_per_90,shot_creating_actions_live_pass,shot_creating_actions_dead_pass,shot_creating_actions_take_on,shot_creating_actions_shot,shot_creating_actions_foul_drawn,goal_creating_actions,goal_creating_actions_per_90,goal_creating_actions_def,season,table_type,processed_at
405,Emi Buendía,ARG,"MF,FW",Aston Villa,Premier League,27.0,1996.0,1.1,3,2.76,2,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
406,Emi Buendía,ARG,MF,Leverkusen,Bundesliga,27.0,1996.0,2.9,12,4.17,6,0,1,3,2,1,0.35,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
407,Manu Bueno,ESP,"MF,FW",Sevilla,La Liga,20.0,2004.0,1.6,1,0.64,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
408,Santiago Bueno,URU,DF,Wolves,Premier League,25.0,1998.0,18.7,12,0.64,10,1,0,0,0,4,0.21,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
409,Endika Buján,ESP,FW,Athletic Club,La Liga,21.0,2003.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
410,Marius Bülter,GER,"FW,DF",Hoffenheim,Bundesliga,31.0,1993.0,19.2,48,2.5,34,0,3,3,7,7,0.36,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
411,Facundo Buonanotte,ARG,"FW,MF",Leicester City,Premier League,19.0,2004.0,16.9,51,3.01,27,11,9,1,3,5,0.3,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
412,Alessandro Buongiorno,ITA,DF,Napoli,Serie A,25.0,1999.0,21.4,19,0.89,18,0,0,1,0,2,0.09,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
413,Cameron Burgess,AUS,DF,Ipswich Town,Premier League,28.0,1995.0,17.1,14,0.82,14,0,0,0,0,3,0.18,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
414,Jonathan Burkardt,GER,FW,Mainz 05,Bundesliga,24.0,2000.0,23.4,54,2.31,41,0,3,6,4,8,0.34,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
415,Oliver Burke,SCO,FW,Werder Bremen,Bundesliga,27.0,1997.0,10.1,33,3.27,24,1,2,4,1,2,0.2,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
416,Dan Burn,ENG,DF,Newcastle Utd,Premier League,32.0,1992.0,37.0,27,0.73,21,1,0,4,1,4,0.11,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
417,Rareș-Cătălin Burnete,ROU,FW,Lecce,Serie A,20.0,2004.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
418,Wes Burns,WAL,"FW,DF",Ipswich Town,Premier League,29.0,1994.0,10.3,16,1.55,12,0,1,1,2,1,0.1,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
419,Marnon Busch,GER,"DF,MF",Heidenheim,Bundesliga,29.0,1994.0,15.5,27,1.74,21,4,0,2,0,1,0.06,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
420,Gianluca Busio,USA,MF,Venezia,Serie A,22.0,2002.0,28.0,65,2.33,54,0,1,5,5,2,0.07,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
421,Aurélio Buta,POR,DF,Reims,Ligue 1,27.0,1997.0,21.9,31,1.42,23,5,0,2,0,4,0.18,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
422,Jean Butez,FRA,GK,Como,Serie A,29.0,1995.0,18.5,5,0.27,5,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
423,Nathan Butler-Oyedeji,ENG,FW,Arsenal,Premier League,21.0,2003.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
424,Marcin Bułka,POL,GK,Nice,Ligue 1,24.0,1999.0,34.0,3,0.09,3,0,0,0,0,1,0.03,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
425,Pau Cabanes,ESP,"MF,FW",Villarreal,La Liga,19.0,2005.0,1.8,12,6.63,8,0,1,0,3,2,1.1,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
426,Pau Cabanes,ESP,"MF,FW",Alavés,La Liga,19.0,2005.0,2.1,6,2.87,4,0,1,0,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
427,Rémy Cabella,FRA,"FW,MF",Lille,Ligue 1,34.0,1990.0,11.2,60,5.33,36,11,2,6,4,6,0.53,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
428,Leandro Cabrera,URU,DF,Espanyol,La Liga,33.0,1991.0,31.9,21,0.66,17,0,0,2,1,7,0.22,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
429,Liberato Cacace,NZL,"MF,DF",Empoli,Serie A,23.0,2000.0,24.8,54,2.18,33,14,4,2,1,4,0.16,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
430,Alessio Cacciamani,ITA,"MF,DF",Torino,Serie A,17.0,2007.0,0.3,1,2.9,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
431,Anthony Caci,FRA,DF,Mainz 05,Bundesliga,27.0,1997.0,29.8,95,3.18,73,17,2,2,0,11,0.37,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
432,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,Ligue 1,27.0,1997.0,8.1,25,3.07,17,5,1,1,1,2,0.25,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
433,Moisés Caicedo,ECU,"MF,DF",Chelsea,Premier League,22.0,2001.0,37.2,98,2.63,86,0,2,0,3,9,0.24,7,2024-2025,stats_gca,2025-10-18 04:36:50.757682
434,Tom Cairney,SCO,MF,Fulham,Premier League,33.0,1991.0,7.0,33,4.71,28,2,0,2,1,3,0.43,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
435,Jens Cajuste,SWE,MF,Ipswich Town,Premier League,24.0,1999.0,21.8,36,1.65,28,2,4,0,1,2,0.09,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
436,Davide Calabria,ITA,DF,Bologna,Serie A,27.0,1996.0,7.0,24,3.42,22,1,0,0,0,3,0.43,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
437,Davide Calabria,ITA,DF,Milan,Serie A,27.0,1996.0,3.5,9,2.56,6,1,0,1,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
438,Riccardo Calafiori,ITA,DF,Arsenal,Premier League,22.0,2002.0,10.9,13,1.19,11,0,1,1,0,2,0.18,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
439,Luca Caldirola,ITA,DF,Monza,Serie A,33.0,1991.0,9.7,5,0.51,5,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
440,Fernando Calero,ESP,"DF,MF",Espanyol,La Liga,28.0,1995.0,7.9,6,0.76,5,0,0,0,0,0,0.0,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
441,Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,27.0,1996.0,17.6,5,0.28,5,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
442,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,30.0,1994.0,21.6,99,4.58,58,33,1,5,0,14,0.65,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
443,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,27.0,1997.0,17.9,26,1.46,14,0,4,3,3,4,0.22,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
444,Drissa Camara,CIV,"MF,FW",Parma,Serie A,22.0,2002.0,5.0,15,3.01,8,2,1,2,2,2,0.4,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
445,Issiaga Camara,GUI,MF,Nice,Ligue 1,19.0,2005.0,0.2,2,9.0,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
446,Lamine Camara,SEN,MF,Monaco,Ligue 1,20.0,2004.0,22.8,82,3.59,43,30,0,4,2,13,0.57,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
447,Mahdi Camara,FRA,"MF,FW",Brest,Ligue 1,26.0,1998.0,29.5,71,2.4,49,0,4,6,8,7,0.24,4,2024-2025,stats_gca,2025-10-18 04:36:50.757682
448,Ousmane Camara,MLI,DF,Angers,Ligue 1,21.0,2003.0,2.8,5,1.79,4,0,0,0,0,0,0.0,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
449,Francesco Camarda,ITA,"FW,MF",Milan,Serie A,16.0,2008.0,2.3,7,3.04,4,0,0,2,0,1,0.43,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
450,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,21.0,2002.0,12.2,31,2.54,25,1,2,0,3,2,0.16,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
451,Nicolò Cambiaghi,ITA,FW,Bologna,Serie A,23.0,2000.0,6.9,30,4.36,22,0,2,2,4,8,1.16,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
452,Andrea Cambiaso,ITA,"DF,FW",Juventus,Serie A,24.0,2000.0,24.7,85,3.45,67,7,4,3,2,9,0.36,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
453,Axel Camblan,FRA,"MF,FW",Brest,Ligue 1,20.0,2003.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
454,Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,23.0,2001.0,12.6,38,3.02,27,0,7,2,1,5,0.4,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
455,José Campaña,ESP,MF,Las Palmas,La Liga,31.0,1993.0,13.2,39,2.95,34,5,0,0,0,4,0.3,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
456,Thomas Campaniello,ITA,FW,Empoli,Serie A,16.0,2008.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
457,Cole Campbell,USA,"MF,FW",Dortmund,Bundesliga,18.0,2006.0,0.2,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
458,Emre Can,GER,"DF,MF",Dortmund,Bundesliga,30.0,1994.0,23.4,32,1.37,28,0,0,2,1,2,0.09,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
459,Peio Canales,ESP,"MF,FW",Athletic Club,La Liga,19.0,2005.0,2.9,10,3.47,5,4,0,0,0,0,0.0,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
460,Matteo Cancellieri,ITA,"FW,MF",Parma,Serie A,22.0,2002.0,15.8,27,1.71,15,2,4,1,5,3,0.19,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
461,Fali Candé,GNB,DF,Venezia,Serie A,26.0,1998.0,17.0,14,0.82,10,2,0,1,1,3,0.18,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
462,Antonio Candela,ITA,DF,Venezia,Serie A,24.0,2000.0,11.2,17,1.52,13,1,1,0,0,1,0.09,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
463,Antonio Candela,ITA,DF,Valladolid,La Liga,24.0,2000.0,10.1,8,0.79,7,1,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
464,Sergi Canós,ESP,"MF,FW",Valencia,La Liga,27.0,1997.0,4.1,19,4.6,13,1,0,4,1,1,0.24,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
465,Jaydee Canvot,FRA,"DF,MF",Toulouse,Ligue 1,18.0,2006.0,12.3,14,1.14,13,0,0,0,1,2,0.16,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
466,Pierrick Capelle,FRA,MF,Angers,Ligue 1,37.0,1987.0,5.4,15,2.8,10,0,0,2,0,1,0.19,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
467,Gianluca Caprari,ITA,"MF,FW",Monza,Serie A,31.0,1993.0,18.3,63,3.43,43,13,1,4,1,5,0.27,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
468,Elia Caprile,ITA,GK,Cagliari,Serie A,22.0,2001.0,18.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
469,Elia Caprile,ITA,GK,Napoli,Serie A,22.0,2001.0,3.6,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
470,Gabin Capuano,FRA,FW,Lens,Ligue 1,18.0,2006.0,0.1,1,8.18,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
471,Francesco Caputo,ITA,FW,Empoli,Serie A,36.0,1987.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
472,Maxence Caqueret,FRA,MF,Como,Serie A,24.0,2000.0,12.1,41,3.4,34,1,3,2,1,8,0.66,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
473,Maxence Caqueret,FRA,MF,Lyon,Ligue 1,24.0,2000.0,6.4,14,2.2,12,0,1,1,0,1,0.16,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
474,Simon Cara,FRA,"MF,FW",Montpellier,Ligue 1,19.0,2005.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
475,Andrea Carboni,ITA,DF,Monza,Serie A,23.0,2001.0,24.3,11,0.45,11,0,0,0,0,2,0.08,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
476,Franco Carboni,ITA,DF,Venezia,Serie A,21.0,2003.0,2.5,5,2.0,4,0,0,0,1,1,0.4,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
477,Valentin Carboni,ARG,"MF,FW",Marseille,Ligue 1,19.0,2005.0,1.1,5,4.37,4,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
478,Dani Cárdenas,ESP,GK,Rayo Vallecano,La Liga,27.0,1997.0,6.0,1,0.17,0,1,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
479,Irvin Cardona,MLT,"FW,MF",Espanyol,La Liga,26.0,1997.0,6.7,20,2.97,16,1,0,2,1,3,0.45,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
480,Irvin Cardona,MLT,FW,Saint-Étienne,Ligue 1,26.0,1997.0,11.8,25,2.31,20,0,1,4,0,3,0.28,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
481,Marc Cardona,ESP,"FW,DF",Las Palmas,La Liga,29.0,1995.0,1.5,4,2.73,2,0,0,2,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
482,Sergi Cardona,ESP,DF,Villarreal,La Liga,25.0,1999.0,32.7,79,2.41,71,3,1,4,0,13,0.4,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
483,Johnny Cardoso,USA,MF,Betis,La Liga,22.0,2001.0,23.8,35,1.47,29,0,5,0,0,1,0.04,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
484,Tiago Cardoso,LUX,GK,Gladbach,Bundesliga,18.0,2006.0,4.2,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
485,Patrik Carlgren,SWE,GK,Nantes,Ligue 1,32.0,1992.0,4.6,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
486,Diego Carlos,BRA,DF,Aston Villa,Premier League,31.0,1993.0,9.2,4,0.43,3,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
487,José Carlos González,ESP,DF,Las Palmas,La Liga,18.0,2006.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
488,Carmona,ESP,DF,Sevilla,La Liga,22.0,2002.0,32.7,54,1.65,38,6,3,2,3,1,0.03,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
489,Marco Carnesecchi,ITA,GK,Atalanta,Serie A,24.0,2000.0,34.0,5,0.15,4,1,0,0,0,1,0.03,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
490,Sergio Carreira,ESP,"MF,DF",Celta Vigo,La Liga,23.0,2000.0,18.4,36,1.96,32,1,3,0,0,4,0.22,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
491,Dani Carvajal,ESP,DF,Real Madrid,La Liga,32.0,1992.0,6.8,12,1.77,10,2,0,0,0,2,0.3,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
492,Fabio Carvalho,POR,"FW,MF",Brentford,Premier League,21.0,2002.0,5.1,10,1.97,7,0,1,2,0,1,0.2,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
493,William Carvalho,POR,MF,Betis,La Liga,32.0,1992.0,5.4,14,2.6,14,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
494,Cesare Casadei,ITA,MF,Torino,Serie A,21.0,2003.0,11.3,19,1.68,16,0,0,1,1,2,0.18,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
495,Marc Casado,ESP,MF,Barcelona,La Liga,20.0,2003.0,17.9,45,2.51,40,0,0,1,2,6,0.34,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
496,Nicolò Casale,ITA,DF,Bologna,Serie A,26.0,1998.0,10.0,12,1.2,10,0,0,2,0,2,0.2,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
497,Nicolò Casale,ITA,DF,Lazio,Serie A,26.0,1998.0,1.5,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
498,Casemiro,BRA,MF,Manchester Utd,Premier League,32.0,1992.0,16.6,53,3.19,49,1,0,3,0,4,0.24,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
499,Kaelan Casey,ENG,DF,West Ham,Premier League,19.0,2004.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
500,Matty Cash,POL,DF,Aston Villa,Premier League,26.0,1997.0,23.0,25,1.09,22,1,1,0,0,4,0.17,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
501,Eiran Cashin,IRL,DF,Brighton,Premier League,22.0,2001.0,0.2,1,4.5,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
502,Josué Casimir,HAI,"FW,MF",Le Havre,Ligue 1,22.0,2001.0,22.2,60,2.7,36,2,6,5,9,8,0.36,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
503,Federico Cassa,ITA,"MF,FW",Atalanta,Serie A,18.0,2006.0,0.2,1,6.43,0,0,0,0,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
504,Cristian Cásseres Jr.,VEN,MF,Toulouse,Ligue 1,24.0,2000.0,30.0,77,2.57,41,20,4,1,5,5,0.17,6,2024-2025,stats_gca,2025-10-18 04:36:50.757682
505,Timothy Castagne,BEL,DF,Fulham,Premier League,28.0,1995.0,18.3,25,1.36,21,0,1,2,1,3,0.16,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
506,Valentín Castellanos,ARG,FW,Lazio,Serie A,25.0,1998.0,26.5,73,2.76,37,1,5,23,5,14,0.53,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
507,Jean-Charles Castelletto,CMR,"DF,MF",Nantes,Ligue 1,29.0,1995.0,29.1,20,0.69,17,0,0,2,1,2,0.07,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
508,Santiago Castro,ARG,FW,Bologna,Serie A,19.0,2004.0,25.5,69,2.71,45,1,6,7,8,11,0.43,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
509,Gaetano Castrovilli,ITA,MF,Monza,Serie A,27.0,1997.0,6.6,15,2.27,9,2,1,2,0,2,0.3,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
510,Gaetano Castrovilli,ITA,"MF,FW",Lazio,Serie A,27.0,1997.0,1.6,3,1.84,3,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
511,Danilo Cataldi,ITA,MF,Fiorentina,Serie A,29.0,1994.0,19.2,32,1.68,21,6,0,3,1,1,0.05,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
512,Catena,ESP,DF,Osasuna,La Liga,29.0,1994.0,34.2,29,0.85,23,3,0,1,2,6,0.18,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
513,Maximiliano Caufriez,BEL,DF,Valencia,La Liga,27.0,1997.0,1.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
514,Enzo Caumont,FRA,MF,Angers,Ligue 1,20.0,2004.0,0.4,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
515,Dani Ceballos,ESP,MF,Real Madrid,La Liga,27.0,1996.0,13.5,57,4.22,50,5,1,0,1,5,0.37,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
516,Abdoulie Ceesay,GAM,FW,St. Pauli,Bundesliga,20.0,2004.0,0.7,1,1.48,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
517,Zeki Çelik,TUR,DF,Roma,Serie A,27.0,1997.0,25.1,38,1.51,35,1,1,1,0,4,0.16,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
518,Fabien Centonze,FRA,DF,Nantes,Ligue 1,28.0,1996.0,2.9,8,2.72,6,1,0,0,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
519,Alberto Cerri,ITA,FW,Como,Serie A,28.0,1996.0,1.0,1,1.03,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
520,Franco Cervi,ARG,"FW,MF",Celta Vigo,La Liga,30.0,1994.0,3.0,5,1.65,5,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
521,Julian Chabot,GER,DF,Stuttgart,Bundesliga,26.0,1998.0,25.2,24,0.95,21,1,0,2,0,2,0.08,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
522,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,Bundesliga,19.0,2005.0,12.6,14,1.11,12,0,1,0,0,1,0.08,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
523,Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,Bundesliga,21.0,2002.0,11.3,50,4.43,32,10,1,5,1,7,0.62,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
524,Trevoh Chalobah,ENG,DF,Crystal Palace,Premier League,25.0,1999.0,11.8,11,0.93,10,0,1,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
525,Trevoh Chalobah,ENG,DF,Chelsea,Premier League,25.0,1999.0,10.1,13,1.29,10,0,0,2,0,3,0.3,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
526,Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,34.0,1990.0,0.3,1,3.75,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
527,Conor Chaplin,ENG,"MF,FW",Ipswich Town,Premier League,27.0,1997.0,9.5,22,2.32,19,3,0,0,0,1,0.11,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
528,Brendan Chardonnet,FRA,DF,Brest,Ligue 1,29.0,1994.0,26.8,24,0.89,21,0,0,2,1,4,0.15,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
529,Gabriel Charpentier,CGO,FW,Parma,Serie A,25.0,1999.0,3.0,11,3.64,8,0,0,0,2,3,0.99,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
530,Raúl Chasco,ESP,DF,Valladolid,La Liga,20.0,2003.0,1.4,2,1.38,2,0,0,0,0,1,0.69,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
531,Anrie Chase,JPN,DF,Stuttgart,Bundesliga,20.0,2004.0,8.2,8,0.98,7,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
532,Pep Chavarría,ESP,"DF,FW",Rayo Vallecano,La Liga,26.0,1998.0,28.7,61,2.12,50,4,1,3,2,2,0.07,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
533,Arthur Chaves,BRA,DF,Hoffenheim,Bundesliga,23.0,2001.0,24.3,23,0.95,19,0,0,2,1,1,0.04,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
534,Jhoanner Chávez,ECU,"DF,MF",Lens,Ligue 1,22.0,2002.0,6.6,15,2.27,8,5,0,2,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
535,Walid Cheddira,MAR,FW,Napoli,Serie A,26.0,1998.0,0.1,1,7.5,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
536,Walid Cheddira,MAR,FW,Espanyol,La Liga,26.0,1998.0,7.1,20,2.81,10,0,2,4,4,5,0.7,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
537,Chema,ESP,MF,Real Madrid,La Liga,19.0,2005.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
538,Théo Chennahi,FRA,DF,Montpellier,Ligue 1,19.0,2005.0,2.0,1,0.5,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
539,Sidiki Cherif,FRA,FW,Angers,Ligue 1,17.0,2006.0,3.6,4,1.11,3,0,1,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
540,Rayan Cherki,FRA,"FW,MF",Lyon,Ligue 1,20.0,2003.0,22.7,146,6.44,101,21,11,9,4,20,0.88,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
541,Youssef Chermiti,POR,"FW,MF",Everton,Premier League,20.0,2004.0,0.5,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
542,Lucas Chevalier,FRA,GK,Lille,Ligue 1,22.0,2001.0,34.0,6,0.18,5,1,0,0,0,1,0.03,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
543,Fabio Chiarodia,ITA,DF,Gladbach,Bundesliga,19.0,2005.0,4.2,2,0.47,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
544,Julián Chicco,ARG,"MF,DF",Leganés,La Liga,26.0,1998.0,3.4,5,1.49,3,0,1,1,0,1,0.3,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
545,Leandro Chichizola,ARG,GK,Parma,Serie A,34.0,1990.0,1.0,2,2.0,1,1,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
546,Federico Chiesa,ITA,FW,Liverpool,Premier League,26.0,1997.0,1.2,6,5.0,6,0,0,0,0,1,0.83,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
547,Ben Chilwell,ENG,DF,Crystal Palace,Premier League,27.0,1996.0,2.9,8,2.77,6,1,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
548,Chiquinho,POR,MF,Wolves,Premier League,24.0,2000.0,0.1,2,25.71,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
