rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalty_attempts,penalty_goals_against,penalty_saves,penalty_missed,MP,Starts,Min,penalty_kicks_allowed,season,table_type,processed_at
51,Mark Flekken,NED,GK,Brentford,Premier League,31,1993,0,0,0,36.4,55,1.51,203,150,73.4,16,8,13,7,18.9,1,0,0,0,37,37,3275,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
52,Yahia Fofana,CIV,GK,Angers,Ligue 1,23,2000,0,0,0,33.0,51,1.55,186,135,74.2,10,6,17,7,21.2,4,0,0,1,33,33,2970,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
53,Fraser Forster,ENG,GK,Tottenham,Premier League,36,1988,0,0,0,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,0,0,0,7,7,630,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
54,Fran,ESP,GK,Real Madrid,La Liga,19,2005,0,0,0,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,1,1,90,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
55,Gauthier Gallon,FRA,GK,Rennes,Ligue 1,31,1993,0,0,0,0.5,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1,0,45,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
56,Joan García,ESP,GK,Espanyol,La Liga,23,2001,0,0,0,38.0,51,1.34,192,140,75.5,11,9,18,8,21.1,6,0,2,0,38,38,3420,4,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
57,Paulo Gazzaniga,ARG,GK,Girona,La Liga,32,1992,0,0,0,35.5,51,1.44,143,90,65.7,11,8,17,8,22.2,5,0,3,0,36,36,3195,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
58,David de Gea,ESP,GK,Fiorentina,Serie A,33,1990,0,0,0,35.0,38,1.09,135,96,72.6,19,5,11,11,31.4,3,0,2,0,35,35,3150,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
59,Pierluigi Gollini,ITA,GK,Genoa,Serie A,29,1995,0,0,0,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,0,1,0,7,7,630,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
60,Mathieu Gorgelin,FRA,GK,Le Havre,Ligue 1,33,1990,0,0,0,16.0,33,2.06,82,50,63.4,5,4,7,1,6.3,3,0,0,0,16,16,1440,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
61,Kamil Grabara,POL,GK,Wolfsburg,Bundesliga,25,1999,0,0,0,28.7,49,1.71,137,88,65.7,9,7,13,5,17.2,3,0,1,0,29,29,2585,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
62,Dominik Greif,SVK,GK,Mallorca,La Liga,27,1997,0,0,0,31.0,34,1.1,116,83,72.4,11,8,12,7,22.6,2,0,0,0,31,31,2790,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
63,Vicente Guaita,ESP,GK,Celta Vigo,La Liga,37,1987,0,0,0,34.0,48,1.41,127,79,64.6,14,7,13,8,23.5,3,0,0,0,34,34,3060,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
64,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,34,1990,0,0,0,29.2,39,1.33,137,97,73.0,12,11,7,14,46.7,3,0,1,0,30,30,2631,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
65,Kjetil Haug,NOR,GK,Toulouse,Ligue 1,26,1998,0,0,0,5.5,7,1.27,16,9,56.3,2,2,1,1,20.0,0,0,0,0,6,5,498,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
66,Dean Henderson,ENG,GK,Crystal Palace,Premier League,27,1997,0,0,0,38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,0,1,0,38,38,3420,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
67,Mads Hermansen,DEN,GK,Leicester City,Premier League,24,2000,0,0,0,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,0,1,0,27,27,2385,3,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
68,Sergio Herrera,ESP,GK,Osasuna,La Liga,31,1993,0,0,0,37.0,52,1.41,182,131,75.3,12,15,10,8,21.6,7,0,0,0,37,37,3330,7,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
69,Dinko Horkaš,CRO,GK,Las Palmas,La Liga,25,1999,0,0,0,12.1,19,1.58,54,35,66.7,2,0,9,1,9.1,2,0,1,0,13,11,1085,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
