Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,Matches
109,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,22-188,2003,5.3,20,3.77,15,5,0,0,0,0,3,0.57,Matches
110,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-141,1994,6.0,22,3.67,10,12,0,0,0,0,3,0.50,Matches
111,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,24-326,2000,1.8,2,1.10,2,0,0,0,0,0,1,0.55,Matches
112,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-283,1998,2.2,2,0.89,1,0,0,1,0,0,0,0.00,Matches
113,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-212,2003,1.0,1,1.00,1,0,0,0,0,0,0,0.00,Matches
114,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,30-339,1994,2.8,4,1.43,3,0,0,0,1,0,1,0.36,Matches
115,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-244,2003,2.8,3,1.09,3,0,0,0,0,0,1,0.36,Matches
116,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-068,2002,5.1,7,1.38,5,0,2,0,0,0,0,0.00,Matches
117,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-220,2002,4.5,9,1.98,5,4,0,0,0,0,1,0.22,Matches
118,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38-075,1987,3.9,24,6.08,21,2,0,0,0,1,0,0.00,Matches
119,Yaser Asprilla,co COL,FW,Girona,es La Liga,21-330,2003,4.5,12,2.69,8,2,1,1,0,0,0,0.00,Matches
120,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-115,2000,2.2,8,3.62,5,2,1,0,0,0,0,0.00,Matches
121,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-181,2005,2.1,5,2.37,4,1,0,0,0,0,0,0.00,Matches
122,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-177,2002,4.9,3,0.61,1,0,0,1,0,1,0,0.00,Matches
123,Zachary Athekame,ch SUI,DF,Milan,it Serie A,20-306,2004,0.4,0,0.00,0,0,0,0,0,0,0,0.00,Matches
124,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-274,2003,5.8,26,4.51,11,5,4,4,2,0,2,0.35,Matches
125,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-143,2002,6.0,2,0.33,2,0,0,0,0,0,0,0.00,Matches
126,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-119,1989,2.8,4,1.45,2,0,0,1,1,0,2,0.73,Matches
127,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-270,1997,4.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
128,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-281,1999,2.9,11,3.79,6,1,2,2,0,0,1,0.34,Matches
129,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-320,2000,1.0,1,1.00,1,0,0,0,0,0,0,0.00,Matches
130,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21-234,2004,5.4,10,1.85,8,1,0,0,1,0,1,0.19,Matches
131,Ezequiel Ávila,ar ARG,"FW,MF",Betis,es La Liga,31-251,1994,0.5,2,4.19,1,1,0,0,0,0,0,0.00,Matches
132,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,20-304,2004,6.1,18,2.93,14,1,0,1,2,0,1,0.16,Matches
133,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,28-287,1997,7.0,5,0.71,5,0,0,0,0,0,0,0.00,Matches
134,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-009,2003,6.0,14,2.32,10,3,0,1,0,0,1,0.17,Matches
135,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-105,2001,1.1,4,3.75,3,0,0,0,0,1,0,0.00,Matches
136,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36-048,1989,5.0,7,1.40,6,1,0,0,0,0,0,0.00,Matches
137,Oussama El Azzouzi,ma MAR,DF,Auxerre,fr Ligue 1,24-139,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,Matches
138,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-182,2004,4.0,0,0.00,0,0,0,0,0,0,0,0.00,Matches
139,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25-187,2000,3.9,3,0.77,3,0,0,0,0,0,0,0.00,Matches
140,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-203,2001,0.7,2,2.73,2,0,0,0,0,0,1,1.36,Matches
141,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24-087,2001,0.9,5,5.42,4,1,0,0,0,0,1,1.08,Matches
142,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21-198,2004,5.5,6,1.09,3,0,0,3,0,0,1,0.18,Matches
143,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31-186,1994,2.0,2,1.00,2,0,0,0,0,0,0,0.00,Matches
144,Theo Bair,ca CAN,"MF,FW",Auxerre,fr Ligue 1,26-049,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,Matches
145,Cédric Bakambu,cd COD,FW,Betis,es La Liga,34-187,1991,0.6,0,0.00,0,0,0,0,0,0,0,0.00,Matches
146,Johan Bakayoko,be BEL,FW,RB Leipzig,de Bundesliga,22-178,2003,5.1,15,2.97,9,0,2,2,2,0,2,0.40,Matches
147,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,17-319,2007,0.1,0,0.00,0,0,0,0,0,0,0,0.00,Matches
148,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27-190,1998,5.9,16,2.73,14,0,0,2,0,0,2,0.34,Matches
149,Dilane Bakwa,fr FRA,"FW,MF",Nott'ham Forest,eng Premier League,23-050,2002,1.9,7,3.62,6,1,0,0,0,0,0,0.00,Matches
150,Dilane Bakwa,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,23-050,2002,1.2,8,6.73,3,1,2,0,2,0,5,4.21,Matches
151,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,22-206,2003,1.3,6,4.46,5,1,0,0,0,0,0,0.00,Matches
152,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,21-362,2003,2.9,9,3.07,8,0,0,0,1,0,0,0.00,Matches
153,Fabio Baldé,pt POR,"FW,MF",Hamburger SV,de Bundesliga,20-087,2005,0.6,1,1.64,0,0,1,0,0,0,0,0.00,Matches
154,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-285,2004,3.9,3,0.76,2,0,0,0,1,0,0,0.00,Matches
155,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-262,1999,5.3,9,1.70,7,0,0,2,0,0,0,0.00,Matches
156,Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,26-023,1999,2.5,4,1.62,3,0,0,0,0,1,0,0.00,Matches
157,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-287,1992,1.3,3,2.39,3,0,0,0,0,0,0,0.00,Matches
158,Fodé Ballo-Touré,sn SEN,DF,Metz,fr Ligue 1,28-285,1997,1.7,2,1.18,2,0,0,0,0,0,0,0.00,Matches
159,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,24-104,2001,3.7,6,1.63,5,0,0,0,1,0,1,0.27,Matches
160,Aladji Bamba,fr FRA,MF,Monaco,fr Ligue 1,19-093,2006,1.4,3,2.18,3,0,0,0,0,0,0,0.00,Matches
161,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,23-309,2001,3.7,2,0.54,2,0,0,0,0,0,1,0.27,Matches
162,Lameck Banda,zm ZAM,"FW,MF",Lecce,it Serie A,24-259,2001,1.1,2,1.89,1,0,1,0,0,0,0,0.00,Matches
163,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,18-318,2006,1.3,1,0.78,0,0,0,1,0,0,0,0.00,Matches
164,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,de Bundesliga,20-241,2005,2.6,9,3.52,8,0,0,1,0,0,1,0.39,Matches
165,Tommaso Barbieri,it ITA,DF,Cremonese,it Serie A,23-050,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,Matches
166,Valentín Barco,ar ARG,"MF,DF",Strasbourg,fr Ligue 1,21-084,2004,6.3,21,3.34,13,4,0,1,2,1,4,0.64,Matches
167,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,23-043,2002,4.5,16,3.57,14,0,1,0,1,0,2,0.45,Matches
168,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,24-343,2000,6.5,14,2.15,12,2,0,0,0,0,0,0.00,Matches
169,Roony Bardghji,se SWE,FW,Barcelona,es La Liga,19-334,2005,1.5,11,7.12,6,2,3,0,0,0,0,0.00,Matches
170,Nicolò Barella,it ITA,MF,Inter,it Serie A,28-250,1997,5.3,22,4.14,14,6,1,0,0,1,4,0.75,Matches
171,Kike Barja,es ESP,"MF,FW",Osasuna,es La Liga,28-197,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,Matches
172,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,31-314,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,Matches
173,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,27-310,1997,3.5,9,2.56,9,0,0,0,0,0,0,0.00,Matches
174,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,es La Liga,23-292,2001,7.2,40,5.55,29,7,4,0,0,0,5,0.69,Matches
175,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,22-122,2003,7.2,14,1.93,11,0,2,0,1,0,0,0.00,Matches
176,Thierno Barry,fr FRA,FW,Everton,eng Premier League,22-359,2002,2.3,3,1.28,3,0,0,0,0,0,0,0.00,Matches
177,Davide Bartesaghi,it ITA,DF,Milan,it Serie A,19-290,2005,1.4,1,0.74,1,0,0,0,0,0,0,0.00,Matches
178,Marc Bartra,es ESP,DF,Betis,es La Liga,34-273,1991,4.5,5,1.11,3,0,0,0,0,2,0,0.00,Matches
179,Federico Baschirotto,it ITA,DF,Cremonese,it Serie A,29-025,1996,6.0,1,0.17,1,0,0,0,0,0,1,0.17,Matches
180,Toma Bašić,hr CRO,MF,Lazio,it Serie A,28-324,1996,1.7,2,1.21,1,0,0,0,0,1,1,0.60,Matches
181,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,25-288,1999,7.0,6,0.86,6,0,0,0,0,0,0,0.00,Matches
182,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,26-185,1999,4.6,10,2.17,10,0,0,0,0,0,4,0.87,Matches
183,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29-168,1996,8.0,3,0.37,3,0,0,0,0,0,0,0.00,Matches
184,Michy Batshuayi,be BEL,FW,Eint Frankfurt,de Bundesliga,32-013,1993,0.6,0,0.00,0,0,0,0,0,0,0,0.00,Matches
185,Martin Baturina,hr CRO,"FW,MF",Como,it Serie A,22-241,2003,0.9,5,5.36,2,3,0,0,0,0,0,0.00,Matches
186,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35-135,1990,6.0,1,0.17,1,0,0,0,0,0,1,0.17,Matches
187,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,26-075,1999,5.1,16,3.11,11,0,1,2,2,0,1,0.19,Matches
188,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27-184,1998,6.0,3,0.50,3,0,0,0,0,0,0,0.00,Matches
189,Vakoun Bayo,ci CIV,FW,Udinese,it Serie A,28-278,1997,1.2,3,2.55,3,0,0,0,0,0,0,0.00,Matches
190,Ihlas Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,31-175,1994,0.5,1,1.96,1,0,0,0,0,0,0,0.00,Matches
191,Samu Becerra,es ESP,"DF,MF",Rayo Vallecano,es La Liga,19-287,2006,0.1,1,7.50,1,0,0,0,0,0,0,0.00,Matches
192,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,28-128,1997,1.6,8,5.11,7,0,0,0,0,1,0,0.00,Matches
193,Sheraldo Becker,sr SUR,MF,Osasuna,es La Liga,30-248,1995,0.9,3,3.46,3,0,0,0,0,0,0,0.00,Matches
194,Donny van de Beek,nl NED,MF,Girona,es La Liga,28-180,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,Matches
195,Maximilian Beier,de GER,"MF,FW",Dortmund,de Bundesliga,22-363,2002,4.2,11,2.61,9,1,1,0,0,0,3,0.71,Matches
196,Ismael Bekhoucha,ma MAR,DF,Getafe,es La Liga,20-329,2004,1.2,3,2.48,2,0,1,0,0,0,2,1.65,Matches
197,Reda Belahyane,ma MAR,MF,Lazio,it Serie A,21-136,2004,1.7,9,5.26,8,0,1,0,0,0,2,1.17,Matches
198,Rafik Belghali,dz ALG,"DF,FW",Hellas Verona,it Serie A,23-130,2002,4.3,17,3.95,14,0,2,1,0,0,0,0.00,Matches
199,Haris Belkebla,dz ALG,MF,Angers,fr Ligue 1,31-260,1994,6.9,5,0.72,4,0,0,0,1,0,1,0.14,Matches
200,Yassin Belkhdim,fr FRA,MF,Angers,fr Ligue 1,23-243,2002,6.7,8,1.20,8,0,0,0,0,0,1,0.15,Matches
201,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,34-052,1991,2.0,3,1.53,2,0,0,1,0,0,0,0.00,Matches
202,Armel Bella Kotchap,de GER,DF,Hellas Verona,it Serie A,23-308,2001,0.8,1,1.23,1,0,0,0,0,0,0,0.00,Matches
203,Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,25-151,2000,4.9,16,3.27,13,2,0,1,0,0,0,0.00,Matches
