Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
100,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-159,2000,6,387,65,71.7,4.3,4,85,3,2,24,0,0.83,5,7,-2,-0.47,-0.47,7.2,7.6,-0.4,-0.09,Matches
101,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-031,2000,5,437,87,69.4,4.9,5,87,4,0,,0,1.40,6,6,0,0.00,+1.87,5.7,4.3,+1.4,+0.28,Matches
102,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-055,1996,3,198,66,27.5,2.2,2,90,2,1,18,0,2.33,6,1,+5,+2.27,+2.27,3.7,1.7,+2.0,+0.90,Matches
103,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-137,1996,7,630,90,100.0,7.0,7,90,7,0,,0,1.14,8,11,-3,-0.43,,7.3,8.9,-1.7,-0.24,Matches
104,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-343,2002,7,630,90,100.0,7.0,7,90,7,0,,0,0.71,5,12,-7,-1.00,,6.6,12.4,-5.9,-0.84,Matches
105,Nícolas Andrade,br BRA,GK,Pisa,it Serie A,37-186,1988,0,,,,,0,,0,0,,6,,,,,,,,,,,Matches
106,André,br BRA,MF,Wolves,eng Premier League,24-091,2001,7,443,63,70.3,4.9,5,76,2,2,32,0,0.29,3,9,-6,-1.22,+0.22,3.8,7.5,-3.7,-0.75,Matches
107,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-073,1990,5,450,90,71.4,5.0,5,90,5,0,,0,2.20,14,6,+8,+1.60,+3.60,10.6,6.6,+4.0,+0.80,Matches
108,Aleksandar Andreev,bg BUL,GK,Girona,es La Liga,19-204,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
109,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,31-023,1994,5,305,61,56.5,3.4,4,71,2,1,22,0,2.00,7,7,0,0.00,-1.53,5.5,4.3,+1.1,+0.34,Matches
110,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-218,1998,4,128,32,17.8,1.4,1,90,1,3,13,4,2.50,4,2,+2,+1.41,+1.71,3.1,2.3,+0.8,+0.53,Matches
111,Miguel Ángel Sierra,es ESP,FW,Sevilla,es La Liga,21-093,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
112,Angeliño,es ESP,"DF,MF",Roma,it Serie A,28-284,1997,5,387,77,71.7,4.3,5,77,0,0,,0,2.40,4,1,+3,+0.70,-0.48,3.9,3.5,+0.4,+0.09,Matches
113,Mathys Angély,fr FRA,DF,Wolfsburg,de Bundesliga,18-177,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
114,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-008,2003,5,278,56,51.5,3.1,3,72,1,2,31,1,0.20,2,5,-3,-0.97,+0.40,2.4,5.1,-2.7,-0.87,Matches
115,Faustino Anjorin,eng ENG,"MF,FW",Torino,it Serie A,23-326,2001,3,29,10,5.4,0.3,0,,0,3,10,1,1.00,0,0,0,0.00,+1.41,0.2,0.3,-0.1,-0.26,Matches
116,Andre Annous,eng ENG,FW,Arsenal,eng Premier League,17-292,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
117,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20-341,2004,6,402,67,74.4,4.5,5,75,0,1,27,0,1.17,8,6,+2,+0.45,+5.01,5.9,7.7,-1.8,-0.41,Matches
118,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-169,2005,1,75,75,13.9,0.8,1,75,0,0,,0,3.00,2,0,+2,+2.40,+1.24,2.3,0.9,+1.4,+1.70,Matches
119,Jaidon Anthony,eng ENG,"MF,FW",Burnley,eng Premier League,25-318,1999,7,587,84,93.2,6.5,7,84,3,0,,0,0.57,6,11,-5,-0.77,+5.51,4.6,11.5,-6.9,-1.06,Matches
120,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-087,1996,6,540,90,100.0,6.0,6,90,6,0,,0,2.33,12,4,+8,+1.33,,10.1,5.1,+5.0,+0.84,Matches
121,Antoniu,es ESP,FW,Espanyol,es La Liga,23-040,2002,3,21,7,2.9,0.2,0,,0,3,7,5,0.67,1,0,+1,+4.29,+4.41,1.2,0.0,+1.1,+4.80,Matches
122,Antony,br BRA,FW,Betis,es La Liga,25-233,2000,4,326,82,45.3,3.6,4,82,2,0,,0,2.50,9,4,+5,+1.38,+1.38,5.6,3.3,+2.3,+0.64,Matches
123,Youssef El-Arabi,ma MAR,"FW,MF",Nantes,fr Ligue 1,38-254,1987,5,28,6,4.4,0.3,0,,0,5,6,2,0.60,1,0,+1,+3.21,+3.66,1.5,0.3,+1.1,+3.65,Matches
124,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-015,1995,8,699,87,97.1,7.8,8,87,7,0,,0,1.38,9,11,-2,-0.26,-0.26,5.4,6.6,-1.2,-0.16,Matches
125,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-084,2002,7,558,80,77.5,6.2,6,87,5,1,34,0,0.71,5,8,-3,-0.48,+0.63,7.9,7.6,+0.3,+0.04,Matches
126,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,24-063,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
127,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-222,1999,6,398,66,55.3,4.4,5,78,3,1,8,2,2.50,11,6,+5,+1.13,-1.11,8.8,6.2,+2.6,+0.58,Matches
128,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-109,1996,7,618,88,98.1,6.9,7,88,6,0,,0,0.71,3,11,-8,-1.17,-1.17,6.5,13.8,-7.3,-1.06,Matches
129,Antonio Arena,it ITA,FW,Roma,it Serie A,16-247,2009,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
130,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-230,1993,3,270,90,42.9,3.0,3,90,3,0,,4,0.33,2,5,-3,-1.00,+0.75,2.2,5.6,-3.4,-1.12,Matches
131,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-105,1999,8,584,73,81.1,6.5,6,86,4,2,34,0,1.63,8,7,+1,+0.15,+0.82,9.8,4.4,+5.5,+0.84,Matches
