Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-058,1995,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-049,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,5,11,8,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
44,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-224,2006,6,5,378,4.2,2,1,3,2,0,0,1,1,1.2,1.2,0.3,1.5,6,14,5,0.48,0.24,0.71,0.48,0.71,0.28,0.08,0.36,0.28,0.36,Matches
45,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-173,2001,4,3,203,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,7,7,8,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
46,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-153,1998,13,9,708,7.9,3,0,3,3,0,1,1,0,4.2,3.0,0.8,3.7,12,17,33,0.38,0.00,0.38,0.38,0.38,0.53,0.10,0.63,0.38,0.47,Matches
47,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-046,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-223,1998,8,5,468,5.2,0,1,1,0,0,0,0,0,0.5,0.5,0.7,1.2,6,16,7,0.00,0.19,0.19,0.00,0.19,0.10,0.13,0.23,0.10,0.23,Matches
49,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-274,1994,13,13,1164,12.9,1,4,5,1,0,0,3,0,3.7,3.7,1.2,4.9,11,18,60,0.08,0.31,0.39,0.08,0.39,0.29,0.09,0.38,0.29,0.38,Matches
50,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-130,1995,10,10,900,10.0,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.5,12,46,9,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.05,0.04,0.05,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
