Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 21_level_0_Int,Unnamed: 22_level_0_Tkl+Int,Unnamed: 23_level_0_Clr,Unnamed: 24_level_0_Err,Unnamed: 25_level_0_Matches
85,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,19-136,2006,4.0,13,7,5,6,2,9,17,52.9,8,3,0,3,1,14,0,0,Matches
86,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-317,2006,2.6,8,4,1,6,1,3,6,50.0,3,5,1,4,1,9,1,1,Matches
87,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-206,2000,8.7,19,11,11,7,1,9,19,47.4,10,7,1,6,4,23,7,1,Matches
88,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-078,2000,10.7,28,17,9,13,6,13,17,76.5,4,11,3,8,14,42,24,1,Matches
89,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-102,1996,6.7,11,6,6,2,3,5,13,38.5,8,8,2,6,6,17,6,0,Matches
90,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-184,1996,11.5,17,13,13,3,1,11,20,55.0,9,8,6,2,9,26,101,0,Matches
91,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,23-025,2002,13.0,35,21,17,10,8,16,32,50.0,16,21,4,17,14,49,13,1,Matches
92,André,br BRA,MF,Wolves,eng Premier League,24-138,2001,9.8,29,13,16,9,4,13,29,44.8,16,15,5,10,9,38,24,4,Matches
93,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-120,1990,10.9,20,12,12,7,1,10,18,55.6,8,17,3,14,11,31,19,0,Matches
94,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,31-070,1994,8.6,20,16,13,6,1,8,9,88.9,1,7,1,6,7,27,18,0,Matches
95,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-265,1998,1.5,0,0,0,0,0,0,0,,0,5,4,1,0,0,14,0,Matches
96,Miguel Ángel Sierra,es ESP,FW,Sevilla,es La Liga,21-140,2004,0.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
97,Angeliño,es ESP,"DF,MF",Roma,it Serie A,28-331,1997,4.3,8,6,5,2,1,5,10,50.0,5,4,0,4,2,10,6,0,Matches
98,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-055,2003,6.6,15,9,4,10,1,8,13,61.5,5,5,2,3,4,19,19,0,Matches
99,Faustino Anjorin,eng ENG,"MF,FW",Torino,it Serie A,24-008,2001,0.7,0,0,0,0,0,0,0,,0,1,1,0,2,2,1,0,Matches
100,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,21-023,2004,9.4,4,3,2,1,1,2,8,25.0,6,5,1,4,3,7,9,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-216,2005,2.8,7,7,7,0,0,5,9,55.6,4,1,1,0,3,10,12,1,Matches
102,Jaidon Anthony,eng ENG,"FW,MF",Burnley,eng Premier League,26-000,1999,10.8,16,7,2,12,2,8,19,42.1,11,14,3,11,8,24,11,2,Matches
103,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-134,1996,12.0,25,13,10,12,3,14,21,66.7,7,16,7,9,9,34,67,1,Matches
104,Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,23-087,2002,1.0,4,2,1,2,1,2,2,100.0,0,1,0,1,0,4,0,0,Matches
105,Antony,br BRA,FW,Betis,es La Liga,25-280,2000,8.5,11,8,4,7,0,6,15,40.0,9,7,0,7,7,18,7,0,Matches
106,Youssef El-Arabi,ma MAR,FW,Nantes,fr Ligue 1,38-301,1987,5.1,3,2,0,2,1,0,3,0.0,3,4,0,4,1,4,4,0,Matches
107,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-062,1995,13.8,31,21,9,18,4,6,21,28.6,15,18,3,15,7,38,17,0,Matches
108,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-131,2002,12.0,43,25,28,14,1,32,53,60.4,21,10,4,6,12,55,38,1,Matches
109,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-269,1999,7.2,10,5,5,5,0,4,4,100.0,0,7,4,3,8,18,27,0,Matches
110,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-156,1996,12.5,23,19,13,10,0,15,22,68.2,7,15,1,14,15,38,36,1,Matches
111,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-277,1993,9.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,Matches
112,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-152,1999,8.2,12,10,2,6,4,10,14,71.4,4,15,5,10,5,17,26,1,Matches
113,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,20-226,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
114,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-071,1997,7.2,25,14,10,10,5,11,17,64.7,6,13,0,13,5,30,10,0,Matches
115,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-316,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
