Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 25_level_0_Matches
124,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-267,2002,8.8,19,2.17,9,7,1,1,0,1,2,0.23,1,1,0,0,0,0,Matches
125,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26-218,1999,1.8,5,2.81,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
126,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38-122,1987,6.1,29,4.75,24,3,0,0,1,1,2,0.33,1,0,0,0,1,0,Matches
127,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,22-012,2003,5.2,17,3.26,11,4,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
128,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-162,2000,5.5,16,2.90,12,3,1,0,0,0,1,0.18,1,0,0,0,0,0,Matches
129,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-228,2005,6.8,18,2.65,11,4,1,0,2,0,2,0.29,2,0,0,0,0,0,Matches
130,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-224,2002,10.4,7,0.67,3,0,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches
131,Zachary Athekame,ch SUI,"DF,FW",Milan,it Serie A,20-353,2004,1.2,2,1.61,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
132,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-321,2003,12.3,44,3.59,21,8,7,4,4,0,6,0.49,3,0,1,2,0,0,Matches
133,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-190,2002,12.0,3,0.25,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-166,1989,8.8,24,2.72,20,0,1,1,1,1,10,1.13,8,0,0,1,1,0,Matches
135,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-317,1997,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-328,1999,5.3,17,3.21,12,1,2,2,0,0,1,0.19,1,0,0,0,0,0,Matches
137,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,25-002,2000,3.3,3,0.92,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
