Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Unnamed: 11_level_0_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 27_level_0_Matches
51,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-307,1990,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
52,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32-251,1993,9,9,810,9.0,17,1.89,46,31,63.0,0,2,7,0,0.0,0,0,0,0,,Matches
53,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-321,2001,11,11,990,11.0,7,0.64,37,29,83.8,9,1,1,6,54.5,2,1,1,0,50.0,Matches
54,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23-229,2002,1,0,84,0.9,2,2.14,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches
55,Bingourou Kamara,sn SEN,GK,Lorient,fr Ligue 1,29-041,1996,3,3,270,3.0,8,2.67,15,7,46.7,1,0,2,1,33.3,1,0,0,1,,Matches
56,Caoimhín Kelleher,ie IRL,GK,Brentford,eng Premier League,27-008,1998,13,13,1170,13.0,20,1.54,46,27,60.9,6,1,6,2,15.4,3,2,1,0,33.3,Matches
57,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-360,1997,12,12,1080,12.0,11,0.92,37,26,73.0,7,4,1,6,50.0,1,1,0,0,0.0,Matches
58,Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,29-046,1996,13,13,1170,13.0,15,1.15,71,54,80.3,4,4,5,4,30.8,4,1,2,1,66.7,Matches
59,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-243,1998,10,9,822,9.1,17,1.86,38,22,60.5,4,2,3,1,11.1,2,2,0,0,0.0,Matches
60,Vladyslav Krapyvtsov,ua UKR,GK,Girona,es La Liga,20-159,2005,2,1,136,1.5,6,3.97,9,3,44.4,0,0,1,0,0.0,1,1,0,0,0.0,Matches
61,Senne Lammens,be BEL,GK,Manchester Utd,eng Premier League,23-147,2002,7,7,630,7.0,9,1.29,25,16,68.0,4,2,1,1,14.3,1,1,0,0,0.0,Matches
