Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 34_level_0_Matches
44,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,28-259,1997,12.0,9,1,0,2,0,13.0,0.35,+4.0,+0.33,56,215,26.0,335,41,48.1,39.5,90,60.0,48.6,188,10,5.3,4,0.33,10.3,Matches
45,Mads Hermansen,dk DEN,GK,West Ham,eng Premier League,25-138,2000,4.0,11,0,0,6,0,9.3,0.46,-1.7,-0.43,19,72,26.4,141,19,41.1,33.9,16,87.5,61.3,72,5,6.9,1,0.25,8.8,Matches
46,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,32-174,1993,13.0,16,2,0,1,0,19.6,0.29,+3.6,+0.27,75,171,43.9,326,65,33.7,32.7,108,56.5,42.0,184,11,6.0,32,2.46,20.2,Matches
47,Daniel Heuer Fernandes,pt POR,GK,Hamburger SV,de Bundesliga,33-013,1992,11.0,17,1,1,3,0,16.9,0.27,-0.1,-0.01,54,155,34.8,512,31,25.8,28.9,60,38.3,39.0,146,8,5.5,10,0.91,13.2,Matches
48,Lukáš Hrádecký,fi FIN,GK,Monaco,fr Ligue 1,36-002,1989,3.9,8,2,0,1,0,7.5,0.36,-0.5,-0.13,10,35,28.6,108,11,26.9,29.9,15,40.0,33.8,53,2,3.8,4,1.03,17.4,Matches
49,Franco Israel,uy URU,GK,Torino,it Serie A,25-218,2000,7.0,13,2,0,2,0,9.6,0.25,-3.4,-0.49,47,136,34.6,227,25,48.5,39.1,33,78.8,53.3,93,5,5.4,5,0.71,13.5,Matches
50,Karl Jakob Hein,ee EST,GK,Werder Bremen,de Bundesliga,23-227,2002,2.0,4,1,0,1,0,4.7,0.26,+0.7,+0.36,15,36,41.7,111,11,24.3,29.7,10,90.0,58.7,28,2,7.1,6,3.00,17.6,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
51,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-302,1990,1.0,0,0,0,0,0,0.3,0.14,+0.3,+0.28,3,10,30.0,32,2,28.1,29.6,2,50.0,45.5,13,1,7.7,3,3.00,18.9,Matches
52,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32-246,1993,8.0,16,0,0,2,2,13.1,0.33,-0.9,-0.12,71,187,38.0,284,46,52.5,39.7,62,61.3,49.3,146,7,4.8,13,1.63,14.6,Matches
53,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-316,2001,10.0,5,1,0,0,0,8.1,0.22,+3.1,+0.31,12,55,21.8,211,51,22.3,26.9,34,23.5,30.6,125,10,8.0,15,1.50,13.5,Matches
54,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23-224,2002,0.9,2,0,0,1,0,1.8,0.59,-0.2,-0.23,3,10,30.0,31,1,22.6,26.0,4,75.0,55.8,20,0,0.0,1,1.08,16.3,Matches
55,Bingourou Kamara,sn SEN,GK,Lorient,fr Ligue 1,29-036,1996,3.0,8,0,0,0,0,5.1,0.34,-2.9,-0.96,12,22,54.5,65,7,29.2,30.0,9,33.3,31.0,26,2,7.7,5,1.67,15.3,Matches
56,Caoimhín Kelleher,ie IRL,GK,Brentford,eng Premier League,27-003,1998,12.0,19,1,0,1,2,14.2,0.31,-2.8,-0.24,71,186,38.2,377,62,37.1,33.5,59,78.0,56.6,162,11,6.8,10,0.83,13.3,Matches
57,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-355,1997,11.0,10,1,0,2,0,10.3,0.30,+0.3,+0.03,35,111,31.5,313,38,31.3,31.5,38,34.2,36.3,140,5,3.6,7,0.64,13.5,Matches
58,Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,29-041,1996,13.0,15,1,0,3,0,22.1,0.29,+7.1,+0.55,46,156,29.5,368,69,33.4,33.2,84,39.3,35.4,209,22,10.5,7,0.54,9.6,Matches
59,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-238,1998,9.1,17,2,0,1,1,14.6,0.36,-1.4,-0.15,21,56,37.5,226,43,19.0,26.2,43,30.2,29.6,116,10,8.6,21,2.30,16.0,Matches
60,Vladyslav Krapyvtsov,ua UKR,GK,Girona,es La Liga,20-154,2005,1.5,6,1,0,1,0,3.4,0.29,-2.6,-1.72,6,20,30.0,36,8,33.3,30.4,11,72.7,54.5,22,0,0.0,0,0.00,14.0,Matches
61,Senne Lammens,be BEL,GK,Manchester Utd,eng Premier League,23-142,2002,6.0,8,0,1,2,0,8.9,0.41,+0.9,+0.15,44,159,27.7,190,12,60.0,43.6,48,93.8,62.3,108,6,5.6,8,1.33,17.0,Matches
62,Nicola Leali,it ITA,GK,Genoa,it Serie A,32-282,1993,12.0,19,2,0,6,1,16.1,0.32,-1.9,-0.16,48,144,33.3,257,29,44.0,36.4,52,59.6,44.0,152,6,3.9,11,0.92,14.8,Matches
