Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
86,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,33-179,1992,7,7,630,7.0,5,0.71,24,19,79.2,2,3,2,5,71.4,0,0,0,0,Matches
87,Ivan Provedel,it ITA,GK,Lazio,it Serie A,31-212,1994,6,6,540,6.0,7,1.17,32,25,78.1,2,1,3,2,33.3,0,0,0,0,Matches
88,Ionuț Radu,ro ROU,GK,Celta Vigo,es La Liga,28-140,1997,8,8,720,8.0,10,1.25,33,23,69.7,0,6,2,0,0.0,1,0,1,0,Matches
89,Diant Ramaj,de GER,GK,Heidenheim,de Bundesliga,24-026,2001,6,6,540,6.0,11,1.83,35,24,71.4,1,0,5,0,0.0,1,1,0,0,Matches
90,David Raya,es ESP,GK,Arsenal,eng Premier League,30-030,1995,7,7,630,7.0,3,0.43,18,15,83.3,5,1,1,4,57.1,0,0,0,0,Matches
91,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,30-205,1995,8,8,720,8.0,12,1.50,32,21,65.6,1,2,5,1,12.5,1,1,0,0,Matches
92,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,20-218,2005,7,7,630,7.0,12,1.71,23,11,60.9,3,1,3,2,28.6,3,3,0,0,Matches
93,Lasse Rieß,de GER,GK,Mainz 05,de Bundesliga,24-080,2001,2,1,112,1.2,4,3.21,10,6,60.0,0,0,1,0,0.0,0,0,0,0,Matches
94,Robin Risser,fr FRA,GK,Lens,fr Ligue 1,20-317,2004,7,7,630,7.0,6,0.86,24,18,75.0,4,1,2,2,28.6,0,0,0,0,Matches
95,Robin Roefs,nl NED,GK,Sunderland,eng Premier League,22-271,2003,7,7,630,7.0,6,0.86,29,22,79.3,3,2,2,3,42.9,1,0,1,0,Matches
96,Leo Román,es ESP,GK,Mallorca,es La Liga,25-101,2000,8,8,720,8.0,13,1.62,38,24,71.1,1,2,5,1,12.5,3,2,1,0,Matches
97,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33-148,1992,6,6,540,6.0,5,0.83,21,16,76.2,4,0,2,2,33.3,0,0,0,0,Matches
98,Mathew Ryan,au AUS,GK,Levante,es La Liga,33-190,1992,6,6,540,6.0,9,1.50,31,22,74.2,2,2,2,2,33.3,1,1,0,0,Matches
99,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,33-072,1992,6,6,540,6.0,13,2.17,39,26,74.4,2,1,3,1,16.7,3,3,0,0,Matches
100,José Sá,pt POR,GK,Wolves,eng Premier League,32-271,1993,4,4,360,4.0,11,2.75,16,5,31.3,0,0,4,0,0.0,0,0,0,0,Matches
101,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31-173,1994,7,7,630,7.0,10,1.43,29,18,69.0,2,4,1,2,28.6,2,1,1,0,Matches
102,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,27-331,1997,7,7,544,6.0,7,1.16,19,12,63.2,3,2,2,2,28.6,0,0,0,0,Matches
103,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,22-187,2003,3,3,270,3.0,11,3.67,16,5,31.3,1,0,2,0,0.0,0,0,0,0,Matches
104,Razvan Sava,ro ROU,GK,Udinese,it Serie A,23-116,2002,6,6,540,6.0,9,1.50,21,12,57.1,2,2,2,1,16.7,0,0,0,0,Matches
105,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,30-173,1995,6,6,540,6.0,9,1.50,27,18,70.4,3,1,2,2,33.3,1,1,0,0,Matches
106,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,33-231,1992,7,7,630,7.0,12,1.71,37,25,75.7,1,2,4,0,0.0,3,3,0,0,Matches
107,Adrian Šemper,hr CRO,GK,Pisa,it Serie A,27-276,1998,6,6,540,6.0,10,1.67,29,19,65.5,0,2,4,1,16.7,0,0,0,0,Matches
108,Marco Silvestri,it ITA,GK,Cremonese,it Serie A,34-227,1991,2,2,180,2.0,5,2.50,15,10,66.7,0,1,1,0,0.0,0,0,0,0,Matches
109,Unai Simón,es ESP,GK,Athletic Club,es La Liga,28-126,1997,8,8,720,8.0,9,1.13,26,18,65.4,4,1,3,1,12.5,0,0,0,0,Matches
110,Antonio Sivera,es ESP,GK,Alavés,es La Liga,29-065,1996,8,8,720,8.0,8,1.00,26,18,69.2,3,2,3,1,12.5,0,0,0,0,Matches
111,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,34-163,1991,6,6,540,6.0,5,0.83,17,12,70.6,3,1,2,2,33.3,0,0,0,0,Matches
112,Yann Sommer,ch SUI,GK,Inter,it Serie A,36-302,1988,4,4,360,4.0,7,1.75,15,8,60.0,2,0,2,1,25.0,1,1,0,0,Matches
113,David Soria,es ESP,GK,Getafe,es La Liga,32-194,1993,8,8,720,8.0,11,1.37,28,18,60.7,3,2,3,2,25.0,0,0,0,0,Matches
114,Zion Suzuki,jp JPN,GK,Parma,it Serie A,23-055,2002,6,6,540,6.0,7,1.17,24,17,70.8,1,2,3,1,16.7,0,0,0,0,Matches
115,Mile Svilar,rs SRB,GK,Roma,it Serie A,26-049,1999,6,6,540,6.0,2,0.33,17,15,88.2,5,0,1,4,66.7,0,0,0,0,Matches
116,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,35-180,1990,2,2,180,2.0,5,2.50,7,2,42.9,1,0,1,0,0.0,1,1,0,0,Matches
117,Arnau Tenas,es ESP,GK,Villarreal,es La Liga,24-138,2001,2,2,180,2.0,4,2.00,9,5,66.7,1,0,1,0,0.0,1,1,0,0,Matches
118,Pietro Terracciano,it ITA,GK,Milan,it Serie A,35-221,1990,2,1,125,1.4,0,0.00,4,4,100.0,1,0,0,2,200.0,0,0,0,0,Matches
119,James Trafford,eng ENG,GK,Manchester City,eng Premier League,23-005,2002,3,3,270,3.0,4,1.33,15,11,80.0,1,0,2,1,33.3,1,1,0,0,Matches
120,Kevin Trapp,de GER,GK,Paris FC,fr Ligue 1,35-099,1990,1,1,90,1.0,2,2.00,2,0,0.0,1,0,0,0,0.0,0,0,0,0,Matches
121,Stefano Turati,it ITA,GK,Sassuolo,it Serie A,24-040,2001,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,Matches
122,Álvaro Vallés,es ESP,GK,Betis,es La Liga,28-082,1997,3,3,270,3.0,5,1.67,13,9,61.5,0,2,1,0,0.0,0,0,0,0,Matches
123,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,29-317,1995,6,6,540,6.0,9,1.50,31,20,71.0,2,1,3,1,16.7,2,0,2,0,Matches
124,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,23-058,2002,7,7,630,7.0,10,1.43,22,14,59.1,2,3,2,0,0.0,1,1,0,0,Matches
125,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,29-008,1996,7,7,630,7.0,5,0.71,29,24,82.8,4,2,1,3,42.9,0,0,0,0,Matches
126,Odysseas Vlachodimos,gr GRE,GK,Sevilla,es La Liga,31-172,1994,4,4,360,4.0,4,1.00,24,20,87.5,3,0,1,1,25.0,2,1,0,1,Matches
127,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,30-352,1994,5,5,426,4.7,6,1.27,16,10,62.5,1,1,3,0,0.0,0,0,0,0,Matches
128,Michael Zetterer,de GER,GK,Eint Frankfurt,de Bundesliga,30-095,1995,3,3,270,3.0,5,1.67,17,12,76.5,2,0,1,0,0.0,1,1,0,0,Matches
