Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
91,Angeliño,es ESP,"DF,MF",Roma,it Serie A,28-284,1997,4.3,8,6,5,2,1,10,50.0,5,4,0,4,2,10,6,0,Matches
92,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-008,2003,3.1,10,6,3,7,0,10,60.0,4,1,1,0,3,13,10,0,Matches
93,Faustino Anjorin,eng ENG,"MF,FW",Torino,it Serie A,23-326,2001,0.3,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
94,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20-341,2004,4.5,3,2,2,0,1,3,33.3,2,2,0,2,1,4,4,0,Matches
95,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-169,2005,0.8,2,2,2,0,0,2,100.0,0,0,0,0,0,2,5,1,Matches
96,Jaidon Anthony,eng ENG,"MF,FW",Burnley,eng Premier League,25-318,1999,6.5,12,7,1,9,2,9,66.7,3,12,3,9,6,18,5,1,Matches
97,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-087,1996,6.0,8,1,4,3,1,8,62.5,3,4,2,2,4,12,33,1,Matches
98,Antoniu,es ESP,FW,Espanyol,es La Liga,23-040,2002,0.2,2,1,1,0,1,2,100.0,0,0,0,0,0,2,0,0,Matches
99,Antony,br BRA,FW,Betis,es La Liga,25-233,2000,3.6,6,5,4,2,0,7,42.9,4,2,0,2,4,10,5,0,Matches
100,Youssef El-Arabi,ma MAR,"FW,MF",Nantes,fr Ligue 1,38-254,1987,0.3,1,1,0,1,0,0,,0,1,0,1,0,1,1,0,Matches
101,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-015,1995,7.8,18,12,4,12,2,16,31.3,11,10,1,9,3,21,10,0,Matches
102,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-084,2002,6.2,21,16,15,6,0,31,51.6,15,4,3,1,6,27,16,1,Matches
103,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-222,1999,4.4,5,4,2,3,0,3,100.0,0,4,2,2,5,10,18,0,Matches
104,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-109,1996,6.9,14,11,8,6,0,13,61.5,5,10,0,10,8,22,21,1,Matches
105,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-230,1993,3.0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
106,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-105,1999,6.5,10,8,2,5,3,12,66.7,4,10,3,7,4,14,12,0,Matches
107,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-024,1997,4.0,19,11,8,8,3,14,64.3,5,5,0,5,3,22,6,0,Matches
108,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-269,2007,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
109,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,22-188,2003,5.3,8,3,2,3,3,9,44.4,5,5,0,5,1,9,1,0,Matches
110,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-141,1994,6.0,7,7,6,1,0,10,40.0,6,5,5,0,10,17,17,1,Matches
111,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,24-326,2000,1.8,1,1,0,1,0,0,,0,0,0,0,1,2,6,0,Matches
112,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-283,1998,2.2,5,3,3,2,0,2,50.0,1,2,1,1,2,7,5,0,Matches
113,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-212,2003,1.0,4,4,3,1,0,4,50.0,2,0,0,0,0,4,0,0,Matches
114,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,30-339,1994,2.8,1,0,0,0,1,2,50.0,1,1,0,1,0,1,1,0,Matches
115,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-244,2003,2.8,3,2,2,1,0,3,66.7,1,4,3,1,1,4,9,0,Matches
116,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-068,2002,5.1,3,0,2,0,1,8,37.5,5,3,0,3,1,4,6,0,Matches
117,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-220,2002,4.5,6,3,3,1,2,5,40.0,3,0,0,0,5,11,1,1,Matches
118,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38-075,1987,3.9,5,3,2,3,0,3,33.3,2,2,0,2,3,8,0,0,Matches
119,Yaser Asprilla,co COL,FW,Girona,es La Liga,21-330,2003,4.5,6,2,1,4,1,2,100.0,0,5,1,4,4,10,4,0,Matches
120,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-115,2000,2.2,5,3,3,2,0,4,75.0,1,3,1,2,1,6,8,0,Matches
121,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-181,2005,2.1,5,2,3,0,2,4,25.0,3,1,0,1,3,8,3,0,Matches
122,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-177,2002,4.9,11,5,7,4,0,7,71.4,2,4,3,1,9,20,48,1,Matches
123,Zachary Athekame,ch SUI,DF,Milan,it Serie A,20-306,2004,0.4,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
124,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-274,2003,5.8,3,0,1,1,1,10,10.0,9,4,0,4,2,5,7,0,Matches
125,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-143,2002,6.0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
126,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-119,1989,2.8,2,0,0,1,1,2,50.0,1,1,0,1,1,3,2,0,Matches
127,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-270,1997,4.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
128,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-281,1999,2.9,1,1,0,1,0,0,,0,2,1,1,2,3,11,0,Matches
129,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-320,2000,1.0,3,2,1,2,0,0,,0,2,0,2,1,4,4,0,Matches
130,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21-234,2004,5.4,6,5,1,5,0,7,42.9,4,5,1,4,6,12,5,0,Matches
