Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Unnamed: 9_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 24_level_0_Matches
72,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-338,1990,9.9,831,774,54,36,4,10,7,13,0,0,0,0,746,3,6,Matches
73,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-248,2001,0.1,8,7,1,1,0,0,0,0,0,0,0,0,8,0,0,Matches
74,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-098,2001,5.3,292,281,11,10,1,0,1,1,0,0,0,0,267,0,2,Matches
75,Carlos Álvarez,es ESP,"MF,FW",Levante,es La Liga,22-117,2003,10.4,362,319,38,17,11,1,24,1,18,9,5,0,273,5,5,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
76,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22-152,2003,3.8,160,153,6,0,0,0,4,6,0,0,0,0,130,1,7,Matches
77,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-304,2000,11.4,414,346,66,8,7,3,47,2,42,11,22,0,328,2,9,Matches
78,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-211,2002,0.4,24,24,0,0,0,0,0,0,0,0,0,0,23,0,0,Matches
79,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-082,2003,0.4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
80,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-123,2003,1.2,89,77,12,7,0,3,0,4,0,0,0,0,74,0,1,Matches
81,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-296,1998,14.0,658,523,133,21,0,2,15,111,0,0,0,0,521,2,9,Matches
82,Mohamed Amine Sbai,fr FRA,FW,Angers,fr Ligue 1,25-026,2000,5.4,188,169,16,1,1,2,22,2,13,8,2,0,122,3,5,Matches
83,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-293,1996,8.7,459,395,64,5,3,1,22,59,0,0,0,0,381,0,8,Matches
84,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,29-035,1996,10.5,636,536,94,48,3,6,48,5,32,14,10,0,494,6,12,Matches
85,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,19-136,2006,4.0,156,145,11,2,2,0,18,6,3,2,0,0,129,0,1,Matches
86,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-317,2006,2.6,120,118,2,2,1,0,0,0,0,0,0,0,110,0,1,Matches
87,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-206,2000,8.7,203,187,16,0,3,0,14,3,0,0,0,0,139,0,13,Matches
88,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-078,2000,10.7,651,588,62,31,2,1,7,31,0,0,0,0,540,1,4,Matches
89,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-102,1996,6.7,439,424,15,13,0,7,4,1,1,0,0,0,394,0,6,Matches
90,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-184,1996,11.5,752,690,60,43,0,16,3,8,0,0,0,0,634,2,4,Matches
91,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,23-025,2002,13.0,966,877,88,27,3,7,68,4,44,22,19,0,802,1,11,Matches
92,André,br BRA,MF,Wolves,eng Premier League,24-138,2001,9.8,474,458,14,9,0,2,8,1,4,2,2,0,433,2,4,Matches
93,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-120,1990,10.9,592,566,25,25,4,6,6,0,0,0,0,0,493,1,16,Matches
94,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,31-070,1994,8.6,509,491,18,9,0,5,4,9,0,0,0,0,445,0,3,Matches
95,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-265,1998,1.5,51,47,4,1,0,0,0,0,0,0,0,0,41,0,0,Matches
96,Miguel Ángel Sierra,es ESP,FW,Sevilla,es La Liga,21-140,2004,0.1,9,8,1,0,0,0,2,0,1,1,0,0,5,0,2,Matches
97,Angeliño,es ESP,"DF,MF",Roma,it Serie A,28-331,1997,4.3,244,200,43,5,0,2,14,38,0,0,0,0,183,1,6,Matches
98,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-055,2003,6.6,199,144,54,18,0,2,34,26,10,3,5,0,122,1,9,Matches
99,Faustino Anjorin,eng ENG,"MF,FW",Torino,it Serie A,24-008,2001,0.7,26,25,0,0,1,0,0,0,0,0,0,0,15,1,0,Matches
100,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,21-023,2004,9.4,148,145,3,0,2,1,8,2,0,0,0,0,112,0,8,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
101,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-216,2005,2.8,173,168,4,4,0,0,0,0,0,0,0,0,153,1,2,Matches
102,Jaidon Anthony,eng ENG,"FW,MF",Burnley,eng Premier League,26-000,1999,10.8,312,269,42,1,3,0,23,8,11,8,1,1,221,1,10,Matches
103,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-134,1996,12.0,935,905,28,15,0,3,7,13,0,0,0,0,842,2,6,Matches
104,Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,23-087,2002,1.0,30,29,1,0,0,0,2,1,0,0,0,0,23,0,3,Matches
105,Antony,br BRA,FW,Betis,es La Liga,25-280,2000,8.5,452,420,31,12,0,4,33,10,9,6,2,0,354,1,13,Matches
106,Youssef El-Arabi,ma MAR,FW,Nantes,fr Ligue 1,38-301,1987,5.1,119,106,13,1,1,1,0,0,0,0,0,0,71,0,3,Matches
107,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-062,1995,13.8,327,319,7,6,0,1,4,0,1,1,0,0,246,1,11,Matches
108,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-131,2002,12.0,684,550,130,15,0,1,21,115,0,0,0,0,516,4,17,Matches
109,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-269,1999,7.2,480,455,24,17,1,0,2,5,0,0,0,0,444,1,2,Matches
110,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-156,1996,12.5,664,556,103,21,0,2,7,82,0,0,0,0,578,5,6,Matches
111,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-277,1993,9.0,304,189,114,32,0,0,0,0,0,0,0,0,169,1,0,Matches
112,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-152,1999,8.2,403,310,92,8,0,3,41,84,0,0,0,0,294,1,9,Matches
113,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,20-226,2005,0.2,6,5,1,0,0,0,1,1,0,0,0,0,5,0,0,Matches
114,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-071,1997,7.2,261,230,31,4,0,2,27,2,16,12,2,0,221,0,5,Matches
115,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-316,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,22-235,2003,10.6,510,455,54,8,5,3,44,2,29,15,12,0,411,1,10,Matches
117,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-188,1994,11.0,556,490,66,37,0,7,47,0,27,18,7,0,453,0,2,Matches
118,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,25-008,2000,3.1,48,48,0,0,0,0,0,0,0,0,0,0,22,0,2,Matches
119,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-330,1998,7.0,305,293,11,11,1,2,3,0,0,0,0,0,253,1,7,Matches
120,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-259,2003,4.5,186,161,25,0,0,1,11,25,0,0,0,0,147,0,4,Matches
121,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,31-021,1994,3.4,61,61,0,0,0,0,5,0,0,0,0,0,40,0,4,Matches
122,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-291,2003,5.5,316,292,24,10,0,2,1,5,0,0,0,0,301,0,3,Matches
123,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-115,2002,9.1,225,217,8,0,4,0,1,2,0,0,0,0,151,0,5,Matches
124,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-267,2002,8.8,467,391,73,36,3,3,37,3,24,10,13,0,370,3,3,Matches
125,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26-218,1999,1.8,30,28,2,0,0,0,1,1,0,0,0,0,19,0,3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
126,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38-122,1987,6.1,348,327,18,9,7,8,16,1,7,4,0,0,263,3,12,Matches
127,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,22-012,2003,5.2,143,123,19,5,0,2,32,1,12,3,7,0,102,1,5,Matches
128,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-162,2000,5.5,285,227,57,4,0,0,17,53,0,0,0,0,225,1,9,Matches
129,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-228,2005,6.8,241,205,34,12,0,6,36,1,21,9,11,0,157,2,3,Matches
130,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-224,2002,10.4,722,698,22,15,0,8,1,1,0,0,0,0,633,2,3,Matches
131,Zachary Athekame,ch SUI,"DF,FW",Milan,it Serie A,20-353,2004,1.2,61,56,5,0,0,1,5,5,0,0,0,0,48,0,2,Matches
132,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-321,2003,12.3,456,413,43,14,0,3,34,9,20,14,2,0,354,0,16,Matches
133,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-190,2002,12.0,521,424,95,37,0,2,0,0,0,0,0,0,361,2,0,Matches
134,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-166,1989,8.8,203,191,12,0,2,0,14,1,0,0,0,0,158,0,7,Matches
135,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-317,1997,8.0,375,303,70,25,0,0,0,0,0,0,0,0,241,2,0,Matches
136,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-328,1999,5.3,284,250,34,6,1,1,12,28,0,0,0,0,237,0,6,Matches
137,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,25-002,2000,3.3,224,214,10,4,0,1,2,6,0,0,0,0,206,0,1,Matches
138,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21-281,2004,11.4,663,634,29,22,0,6,9,5,2,1,0,0,580,0,8,Matches
139,Ezequiel Ávila,ar ARG,"FW,MF",Betis,es La Liga,31-298,1994,0.5,15,13,2,1,0,0,1,0,1,0,1,0,12,0,0,Matches
140,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,20-351,2004,12.1,655,601,50,29,5,3,27,3,8,4,1,0,539,4,15,Matches
141,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,28-334,1997,13.8,877,757,118,47,3,11,0,4,0,0,0,0,761,2,7,Matches
142,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,28-111,1997,1.5,25,25,0,0,0,0,0,0,0,0,0,0,20,0,1,Matches
143,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-056,2003,11.7,579,544,31,11,0,2,20,1,16,9,1,0,489,4,6,Matches
144,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-152,2001,4.1,195,190,5,2,1,0,4,0,3,2,1,0,173,0,1,Matches
145,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36-095,1989,6.5,412,346,66,19,0,2,7,47,0,0,0,0,349,0,2,Matches
146,Oussama El Azzouzi,ma MAR,MF,Auxerre,fr Ligue 1,24-186,2001,4.1,178,172,5,4,0,2,0,0,1,0,0,0,159,1,1,Matches
147,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-229,2004,10.0,364,313,50,13,0,0,0,0,0,0,0,0,312,1,0,Matches
148,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25-234,2000,9.9,807,794,13,12,1,2,0,1,0,0,0,0,744,0,1,Matches
149,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-250,2001,1.2,96,89,7,4,0,0,0,0,0,0,0,0,89,0,0,Matches
150,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24-134,2001,5.4,277,236,38,5,2,0,48,1,30,14,10,0,201,3,15,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
151,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21-245,2004,12.5,597,568,27,16,0,2,0,1,0,0,0,0,560,2,0,Matches
152,Leon Bailey,jm JAM,"FW,MF",Roma,it Serie A,28-114,1997,1.7,59,55,4,3,0,0,12,0,1,1,0,0,41,0,3,Matches
153,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31-233,1994,3.0,139,131,8,6,0,1,0,1,0,0,0,0,124,0,0,Matches
154,Theo Bair,ca CAN,"MF,FW",Auxerre,fr Ligue 1,26-096,1999,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
