Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 23_level_0_Ast,Unnamed: 24_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 27_level_0_KP,Unnamed: 28_level_0_1/3,Unnamed: 29_level_0_PPA,Unnamed: 30_level_0_CrsPA,Unnamed: 31_level_0_PrgP,Unnamed: 32_level_0_Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-285,1999,11.5,521,600,86.8,8704,2144,229,255,89.8,256,277,92.4,27,43,62.8,1,0.1,0.3,+0.9,2,52,1,0,51,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-173,2001,4.8,47,82,57.3,621,107,28,40,70.0,14,26,53.8,1,2,50.0,1,1.2,0.2,-0.2,4,1,2,1,4,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-063,1997,5.2,427,474,90.1,7793,3030,153,162,94.4,247,264,93.6,25,41,61.0,0,0.0,0.2,0.0,0,21,2,0,17,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-092,2005,4.8,79,116,68.1,1195,285,46,60,76.7,24,32,75.0,6,11,54.5,0,0.2,0.5,-0.2,3,4,4,1,11,Matches
23,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23-312,2002,5.7,108,153,70.6,1423,313,68,79,86.1,32,47,68.1,2,6,33.3,1,1.6,1.6,-0.6,8,7,2,0,15,Matches
24,Simon Adingra,ci CIV,"FW,MF",Sunderland,eng Premier League,23-329,2002,3.3,57,83,68.7,898,96,31,37,83.8,20,25,80.0,3,8,37.5,0,0.6,0.3,-0.6,5,0,4,2,2,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23-097,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Amine Adli,ma MAR,"FW,MF",Bournemouth,eng Premier League,25-200,2000,2.7,82,111,73.9,1166,226,47,55,85.5,26,33,78.8,5,10,50.0,0,0.2,0.2,-0.2,4,3,3,0,9,Matches
27,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-198,2006,1.4,54,70,77.1,901,218,26,29,89.7,18,20,90.0,5,7,71.4,0,0.2,0.1,-0.2,4,4,2,0,9,Matches
28,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-324,1997,9.9,404,473,85.4,7376,1777,167,181,92.3,184,205,89.8,46,70,65.7,0,0.6,0.7,-0.6,8,33,6,0,46,Matches
29,David Affengruber,at AUT,DF,Elche,es La Liga,24-252,2001,11.4,608,693,87.7,10452,3672,265,282,94.0,299,323,92.6,35,73,47.9,0,0.2,0.4,-0.2,3,44,4,0,36,Matches
30,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,de Bundesliga,27-287,1998,1.7,50,75,66.7,858,159,28,32,87.5,16,23,69.6,5,12,41.7,0,0.1,0.2,-0.1,2,5,2,1,7,Matches
31,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-162,1997,7.2,348,442,78.7,7712,2979,94,105,89.5,203,226,89.8,49,102,48.0,0,0.1,0.3,-0.1,2,44,6,2,33,Matches
32,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-335,2000,13.0,306,421,72.7,8104,5982,60,61,98.4,158,160,98.8,86,198,43.4,0,0.0,0.0,0.0,1,2,0,0,1,Matches
33,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-290,2002,8.6,314,399,78.7,5503,1703,144,162,88.9,126,145,86.9,34,64,53.1,1,0.8,0.4,+0.2,8,48,7,2,49,Matches
34,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-060,1999,5.4,198,248,79.8,3254,661,96,111,86.5,83,94,88.3,12,27,44.4,0,0.4,0.4,-0.4,5,8,3,2,12,Matches
35,Marc Aguado,es ESP,MF,Elche,es La Liga,25-277,2000,8.9,421,463,90.9,6078,1865,239,253,94.5,151,160,94.4,13,20,65.0,0,0.0,0.2,0.0,1,50,2,1,34,Matches
36,Pablo Agudín,es ESP,"MF,FW",Oviedo,es La Liga,18-018,2007,0.6,4,10,40.0,73,14,3,3,100.0,0,4,0.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-241,1996,2.0,106,119,89.1,1731,663,52,53,98.1,47,49,95.9,5,13,38.5,0,0.0,0.0,0.0,0,12,0,0,9,Matches
